,Basketball,CC/Track,Other,School,Sport Category
Nat. Haw./PI,0,0,2,South Dakota State University,Women
US N-R,0,0,0,South Dakota State University,Women
Two or More,0,3,12,South Dakota State University,Women
Unknown,0,0,0,South Dakota State University,Women
White,14,42,109,South Dakota State University,Women
Total,14,49,130,South Dakota State University,Women
Am. Ind./AN,0,0,1,Southeast Missouri State University,Women
Asian,0,0,0,Southeast Missouri State University,Women
Black,10,8,3,Southeast Missouri State University,Women
Hispanic,0,1,4,Southeast Missouri State University,Women
Nat. Haw./PI,0,0,0,Southeast Missouri State University,Women
US N-R,0,2,9,Southeast Missouri State University,Women
Two or More,0,2,2,Southeast Missouri State University,Women
Unknown,0,0,0,Southeast Missouri State University,Women
White,3,25,59,Southeast Missouri State University,Women
Total,13,38,78,Southeast Missouri State University,Women
Am. Ind./AN,0,0,1,Southeastern Louisiana University,Women
Asian,0,0,0,Southeastern Louisiana University,Women
Black,12,12,7,Southeastern Louisiana University,Women
Hispanic,0,0,16,Southeastern Louisiana University,Women
Nat. Haw./PI,0,0,0,Southeastern Louisiana University,Women
US N-R,0,10,15,Southeastern Louisiana University,Women
Two or More,0,0,4,Southeastern Louisiana University,Women
Unknown,0,0,1,Southeastern Louisiana University,Women
White,1,6,57,Southeastern Louisiana University,Women
Total,13,28,101,Southeastern Louisiana University,Women
Am. Ind./AN,0,0,0,Southern Illinois University Edwardsville,Women
Asian,0,0,2,Southern Illinois University Edwardsville,Women
Black,2,11,2,Southern Illinois University Edwardsville,Women
Hispanic,1,2,4,Southern Illinois University Edwardsville,Women
Nat. Haw./PI,0,0,0,Southern Illinois University Edwardsville,Women
US N-R,0,0,1,Southern Illinois University Edwardsville,Women
Two or More,2,2,4,Southern Illinois University Edwardsville,Women
Unknown,0,1,1,Southern Illinois University Edwardsville,Women
White,6,11,45,Southern Illinois University Edwardsville,Women
Total,11,27,59,Southern Illinois University Edwardsville,Women
Am. Ind./AN,0,0,0,Southern Illinois University at Carbondale,Women
Asian,0,0,3,Southern Illinois University at Carbondale,Women
Black,8,0,17,Southern Illinois University at Carbondale,Women
Hispanic,0,0,8,Southern Illinois University at Carbondale,Women
Nat. Haw./PI,0,0,0,Southern Illinois University at Carbondale,Women
US N-R,1,0,18,Southern Illinois University at Carbondale,Women
Two or More,1,0,10,Southern Illinois University at Carbondale,Women
Unknown,0,0,0,Southern Illinois University at Carbondale,Women
White,4,0,80,Southern Illinois University at Carbondale,Women
Total,14,0,136,Southern Illinois University at Carbondale,Women
Am. Ind./AN,1,0,0,Southern Methodist University,Women
Asian,0,0,4,Southern Methodist University,Women
Black,8,6,3,Southern Methodist University,Women
Hispanic,0,0,4,Southern Methodist University,Women
Nat. Haw./PI,0,0,0,Southern Methodist University,Women
US N-R,0,5,7,Southern Methodist University,Women
Two or More,3,2,15,Southern Methodist University,Women
Unknown,0,0,5,Southern Methodist University,Women
White,1,9,72,Southern Methodist University,Women
Total,13,22,110,Southern Methodist University,Women
Am. Ind./AN,0,0,0,Southern University Baton Rouge,Women
Asian,0,0,1,Southern University Baton Rouge,Women
Black,14,22,46,Southern University Baton Rouge,Women
Hispanic,0,0,6,Southern University Baton Rouge,Women
Nat. Haw./PI,0,0,0,Southern University Baton Rouge,Women
US N-R,0,0,0,Southern University Baton Rouge,Women
Two or More,0,0,11,Southern University Baton Rouge,Women
Unknown,0,0,6,Southern University Baton Rouge,Women
White,0,0,1,Southern University Baton Rouge,Women
Total,14,22,71,Southern University Baton Rouge,Women
Am. Ind./AN,0,0,1,Southern Utah University,Women
Asian,0,1,0,Southern Utah University,Women
Black,0,2,3,Southern Utah University,Women
Hispanic,0,3,20,Southern Utah University,Women
Nat. Haw./PI,0,0,0,Southern Utah University,Women
US N-R,4,4,12,Southern Utah University,Women
Two or More,1,5,2,Southern Utah University,Women
Unknown,1,5,6,Southern Utah University,Women
White,5,40,54,Southern Utah University,Women
Total,11,60,98,Southern Utah University,Women
Am. Ind./AN,0,0,0,St. Bonaventure University,Women
Asian,0,0,1,St. Bonaventure University,Women
Black,4,0,4,St. Bonaventure University,Women
Hispanic,1,0,3,St. Bonaventure University,Women
Nat. Haw./PI,0,0,0,St. Bonaventure University,Women
US N-R,1,2,21,St. Bonaventure University,Women
Two or More,1,0,1,St. Bonaventure University,Women
Unknown,0,0,0,St. Bonaventure University,Women
White,3,17,51,St. Bonaventure University,Women
Total,10,19,81,St. Bonaventure University,Women
Am. Ind./AN,0,0,0,St. John's University (New York),Women
Asian,0,0,3,St. John's University (New York),Women
Black,9,3,1,St. John's University (New York),Women
Hispanic,0,3,7,St. John's University (New York),Women
Nat. Haw./PI,0,0,0,St. John's University (New York),Women
US N-R,1,14,28,St. John's University (New York),Women
Two or More,0,1,5,St. John's University (New York),Women
Unknown,0,0,0,St. John's University (New York),Women
White,0,5,26,St. John's University (New York),Women
Total,10,26,70,St. John's University (New York),Women
Am. Ind./AN,0,0,0,Stanford University,Women
Asian,0,1,23,Stanford University,Women
Black,5,3,6,Stanford University,Women
Hispanic,1,1,15,Stanford University,Women
Nat. Haw./PI,0,0,2,Stanford University,Women
US N-R,2,5,30,Stanford University,Women
Two or More,1,2,30,Stanford University,Women
Unknown,0,0,4,Stanford University,Women
White,3,20,141,Stanford University,Women
Total,12,32,251,Stanford University,Women
Am. Ind./AN,0,0,1,Stephen F. Austin State University,Women
Asian,0,0,3,Stephen F. Austin State University,Women
Black,4,9,8,Stephen F. Austin State University,Women
Hispanic,1,1,4,Stephen F. Austin State University,Women
Nat. Haw./PI,1,0,0,Stephen F. Austin State University,Women
US N-R,0,2,8,Stephen F. Austin State University,Women
Two or More,6,2,11,Stephen F. Austin State University,Women
Unknown,0,0,1,Stephen F. Austin State University,Women
White,2,7,61,Stephen F. Austin State University,Women
Total,14,21,97,Stephen F. Austin State University,Women
Am. Ind./AN,0,0,0,Stetson University,Women
Asian,0,0,0,Stetson University,Women
Black,6,0,2,Stetson University,Women
Hispanic,1,0,11,Stetson University,Women
Nat. Haw./PI,0,0,1,Stetson University,Women
US N-R,2,0,27,Stetson University,Women
Two or More,2,0,10,Stetson University,Women
Unknown,0,0,2,Stetson University,Women
White,1,6,111,Stetson University,Women
Total,12,6,164,Stetson University,Women
Am. Ind./AN,0,0,0,Stony Brook University,Women
Asian,0,0,7,Stony Brook University,Women
Black,8,6,5,Stony Brook University,Women
Hispanic,2,3,11,Stony Brook University,Women
Nat. Haw./PI,0,0,1,Stony Brook University,Women
US N-R,0,0,0,Stony Brook University,Women
Two or More,1,1,10,Stony Brook University,Women
Unknown,0,0,0,Stony Brook University,Women
White,1,10,68,Stony Brook University,Women
Total,12,20,102,Stony Brook University,Women
Am. Ind./AN,0,0,0,Syracuse University,Women
Asian,0,0,1,Syracuse University,Women
Black,6,6,8,Syracuse University,Women
Hispanic,0,0,9,Syracuse University,Women
Nat. Haw./PI,0,0,0,Syracuse University,Women
US N-R,3,3,51,Syracuse University,Women
Two or More,0,2,8,Syracuse University,Women
Unknown,1,0,1,Syracuse University,Women
White,0,15,76,Syracuse University,Women
Total,10,26,154,Syracuse University,Women
Am. Ind./AN,0,0,0,Temple University,Women
Asian,0,0,4,Temple University,Women
Black,10,6,13,Temple University,Women
Hispanic,1,0,3,Temple University,Women
Nat. Haw./PI,0,0,0,Temple University,Women
US N-R,0,6,29,Temple University,Women
Two or More,1,1,9,Temple University,Women
Unknown,0,0,4,Temple University,Women
White,0,4,76,Temple University,Women
Total,12,17,138,Temple University,Women
Am. Ind./AN,0,0,0,Tennessee State University,Women
Asian,0,0,0,Tennessee State University,Women
Black,12,12,17,Tennessee State University,Women
Hispanic,1,0,2,Tennessee State University,Women
Nat. Haw./PI,0,0,1,Tennessee State University,Women
US N-R,0,0,14,Tennessee State University,Women
Two or More,0,0,0,Tennessee State University,Women
Unknown,0,0,0,Tennessee State University,Women
White,0,0,8,Tennessee State University,Women
Total,13,12,42,Tennessee State University,Women
Am. Ind./AN,0,0,0,Tennessee Technological University,Women
Asian,0,2,1,Tennessee Technological University,Women
Black,4,9,4,Tennessee Technological University,Women
Hispanic,0,0,0,Tennessee Technological University,Women
Nat. Haw./PI,0,0,0,Tennessee Technological University,Women
US N-R,0,4,2,Tennessee Technological University,Women
Two or More,0,2,3,Tennessee Technological University,Women
Unknown,1,1,3,Tennessee Technological University,Women
White,7,18,60,Tennessee Technological University,Women
Total,12,36,73,Tennessee Technological University,Women
Am. Ind./AN,0,0,0,Texas A&M University-Corpus Christi,Women
Asian,0,0,0,Texas A&M University-Corpus Christi,Women
Black,5,5,6,Texas A&M University-Corpus Christi,Women
Hispanic,0,4,25,Texas A&M University-Corpus Christi,Women
Nat. Haw./PI,0,0,0,Texas A&M University-Corpus Christi,Women
US N-R,7,1,15,Texas A&M University-Corpus Christi,Women
Two or More,1,2,7,Texas A&M University-Corpus Christi,Women
Unknown,0,0,1,Texas A&M University-Corpus Christi,Women
White,1,2,37,Texas A&M University-Corpus Christi,Women
Total,14,14,91,Texas A&M University-Corpus Christi,Women
Am. Ind./AN,0,0,1,Texas A&M University College Station,Women
Asian,0,0,5,Texas A&M University College Station,Women
Black,14,14,17,Texas A&M University College Station,Women
Hispanic,0,1,18,Texas A&M University College Station,Women
Nat. Haw./PI,0,0,0,Texas A&M University College Station,Women
US N-R,2,5,21,Texas A&M University College Station,Women
Two or More,0,0,2,Texas A&M University College Station,Women
Unknown,1,0,1,Texas A&M University College Station,Women
White,0,20,110,Texas A&M University College Station,Women
Total,17,40,175,Texas A&M University College Station,Women
Am. Ind./AN,0,0,0,Texas Christian University,Women
Asian,0,0,2,Texas Christian University,Women
Black,4,15,1,Texas Christian University,Women
Hispanic,2,2,14,Texas Christian University,Women
Nat. Haw./PI,0,0,0,Texas Christian University,Women
US N-R,0,4,31,Texas Christian University,Women
Two or More,2,2,8,Texas Christian University,Women
Unknown,0,1,3,Texas Christian University,Women
White,3,8,80,Texas Christian University,Women
Total,11,32,139,Texas Christian University,Women
Am. Ind./AN,0,0,0,Texas Southern University,Women
Asian,0,0,3,Texas Southern University,Women
Black,11,23,36,Texas Southern University,Women
Hispanic,0,1,14,Texas Southern University,Women
Nat. Haw./PI,0,0,0,Texas Southern University,Women
US N-R,1,0,7,Texas Southern University,Women
Two or More,1,3,6,Texas Southern University,Women
Unknown,0,0,0,Texas Southern University,Women
White,0,0,11,Texas Southern University,Women
Total,13,27,77,Texas Southern University,Women
Am. Ind./AN,0,0,0,Texas State University,Women
Asian,0,0,1,Texas State University,Women
Black,8,18,1,Texas State University,Women
Hispanic,1,11,10,Texas State University,Women
Nat. Haw./PI,0,0,0,Texas State University,Women
US N-R,0,5,14,Texas State University,Women
Two or More,0,0,6,Texas State University,Women
Unknown,0,0,0,Texas State University,Women
White,1,6,44,Texas State University,Women
Total,10,40,76,Texas State University,Women
Am. Ind./AN,0,0,0,Texas Tech University,Women
Asian,0,0,1,Texas Tech University,Women
Black,6,20,2,Texas Tech University,Women
Hispanic,3,0,13,Texas Tech University,Women
Nat. Haw./PI,0,0,0,Texas Tech University,Women
US N-R,3,7,6,Texas Tech University,Women
Two or More,0,3,7,Texas Tech University,Women
Unknown,0,2,4,Texas Tech University,Women
White,1,14,43,Texas Tech University,Women
Total,13,46,76,Texas Tech University,Women
Am. Ind./AN,0,0,0,The Citadel,Women
Asian,0,0,0,The Citadel,Women
Black,0,4,1,The Citadel,Women
Hispanic,0,3,5,The Citadel,Women
Nat. Haw./PI,0,0,0,The Citadel,Women
US N-R,0,0,3,The Citadel,Women
Two or More,0,0,4,The Citadel,Women
Unknown,0,0,0,The Citadel,Women
White,0,6,18,The Citadel,Women
Total,0,13,31,The Citadel,Women
Am. Ind./AN,0,0,0,The Ohio State University,Women
Asian,0,1,12,The Ohio State University,Women
Black,4,13,6,The Ohio State University,Women
Hispanic,0,3,9,The Ohio State University,Women
Nat. Haw./PI,0,0,0,The Ohio State University,Women
US N-R,0,5,35,The Ohio State University,Women
Two or More,0,0,13,The Ohio State University,Women
Unknown,2,2,22,The Ohio State University,Women
White,1,12,145,The Ohio State University,Women
Total,7,36,242,The Ohio State University,Women
Am. Ind./AN,0,0,0,The University of North Carolina at Charlotte,Women
Asian,0,0,0,The University of North Carolina at Charlotte,Women
Black,4,3,1,The University of North Carolina at Charlotte,Women
Hispanic,0,0,0,The University of North Carolina at Charlotte,Women
Nat. Haw./PI,0,0,0,The University of North Carolina at Charlotte,Women
US N-R,0,2,11,The University of North Carolina at Charlotte,Women
Two or More,0,0,0,The University of North Carolina at Charlotte,Women
Unknown,0,0,0,The University of North Carolina at Charlotte,Women
White,0,2,1,The University of North Carolina at Charlotte,Women
Total,4,7,13,The University of North Carolina at Charlotte,Women
Am. Ind./AN,0,0,0,The University of North Carolina at Greensboro,Women
Asian,0,0,0,The University of North Carolina at Greensboro,Women
Black,10,6,7,The University of North Carolina at Greensboro,Women
Hispanic,1,3,11,The University of North Carolina at Greensboro,Women
Nat. Haw./PI,0,0,1,The University of North Carolina at Greensboro,Women
US N-R,3,0,9,The University of North Carolina at Greensboro,Women
Two or More,0,1,4,The University of North Carolina at Greensboro,Women
Unknown,0,0,1,The University of North Carolina at Greensboro,Women
White,1,10,54,The University of North Carolina at Greensboro,Women
Total,15,20,87,The University of North Carolina at Greensboro,Women
Am. Ind./AN,0,0,0,The University of Southern Mississippi,Women
Asian,0,0,1,The University of Southern Mississippi,Women
Black,8,9,5,The University of Southern Mississippi,Women
Hispanic,0,1,3,The University of Southern Mississippi,Women
Nat. Haw./PI,0,0,1,The University of Southern Mississippi,Women
US N-R,0,2,29,The University of Southern Mississippi,Women
Two or More,2,4,8,The University of Southern Mississippi,Women
Unknown,0,0,0,The University of Southern Mississippi,Women
White,3,4,48,The University of Southern Mississippi,Women
Total,13,20,95,The University of Southern Mississippi,Women
Am. Ind./AN,0,0,0,The University of Texas Rio Grande Valley,Women
Asian,0,0,0,The University of Texas Rio Grande Valley,Women
Black,8,15,3,The University of Texas Rio Grande Valley,Women
Hispanic,0,11,9,The University of Texas Rio Grande Valley,Women
Nat. Haw./PI,1,0,0,The University of Texas Rio Grande Valley,Women
US N-R,2,5,35,The University of Texas Rio Grande Valley,Women
Two or More,0,0,2,The University of Texas Rio Grande Valley,Women
Unknown,0,0,0,The University of Texas Rio Grande Valley,Women
White,4,0,6,The University of Texas Rio Grande Valley,Women
Total,15,31,55,The University of Texas Rio Grande Valley,Women
Am. Ind./AN,1,0,2,The University of Tulsa,Women
Asian,0,0,0,The University of Tulsa,Women
Black,3,4,8,The University of Tulsa,Women
Hispanic,3,3,11,The University of Tulsa,Women
Nat. Haw./PI,1,0,1,The University of Tulsa,Women
US N-R,1,6,36,The University of Tulsa,Women
Two or More,2,1,7,The University of Tulsa,Women
Unknown,0,2,2,The University of Tulsa,Women
White,4,8,49,The University of Tulsa,Women
Total,15,24,116,The University of Tulsa,Women
Am. Ind./AN,1,0,0,Towson University,Women
Asian,0,0,2,Towson University,Women
Black,10,11,11,Towson University,Women
Hispanic,2,2,8,Towson University,Women
Nat. Haw./PI,0,0,0,Towson University,Women
US N-R,2,1,16,Towson University,Women
Two or More,0,0,7,Towson University,Women
Unknown,0,0,2,Towson University,Women
White,1,6,104,Towson University,Women
Total,16,20,150,Towson University,Women
Am. Ind./AN,0,0,0,Troy University,Women
Asian,0,0,1,Troy University,Women
Black,8,12,6,Troy University,Women
Hispanic,0,1,3,Troy University,Women
Nat. Haw./PI,0,0,0,Troy University,Women
US N-R,2,4,18,Troy University,Women
Two or More,2,1,2,Troy University,Women
Unknown,1,0,0,Troy University,Women
White,0,11,50,Troy University,Women
Total,13,29,80,Troy University,Women
Am. Ind./AN,0,0,0,Tulane University,Women
Asian,0,0,1,Tulane University,Women
Black,7,3,3,Tulane University,Women
Hispanic,0,2,6,Tulane University,Women
Nat. Haw./PI,0,0,0,Tulane University,Women
US N-R,3,9,17,Tulane University,Women
Two or More,0,0,5,Tulane University,Women
Unknown,0,0,2,Tulane University,Women
White,1,13,36,Tulane University,Women
Total,11,27,70,Tulane University,Women
Am. Ind./AN,0,0,0,U.S. Air Force Academy,Women
Asian,0,0,0,U.S. Air Force Academy,Women
Black,0,0,0,U.S. Air Force Academy,Women
Hispanic,0,0,0,U.S. Air Force Academy,Women
Nat. Haw./PI,0,0,0,U.S. Air Force Academy,Women
US N-R,0,0,0,U.S. Air Force Academy,Women
Two or More,0,0,0,U.S. Air Force Academy,Women
Unknown,0,0,0,U.S. Air Force Academy,Women
White,0,0,0,U.S. Air Force Academy,Women
Total,0,0,0,U.S. Air Force Academy,Women
Am. Ind./AN,0,0,0,U.S. Military Academy,Women
Asian,0,0,0,U.S. Military Academy,Women
Black,0,0,0,U.S. Military Academy,Women
Hispanic,0,0,0,U.S. Military Academy,Women
Nat. Haw./PI,0,0,0,U.S. Military Academy,Women
US N-R,0,0,0,U.S. Military Academy,Women
Two or More,0,0,0,U.S. Military Academy,Women
Unknown,0,0,0,U.S. Military Academy,Women
White,0,0,0,U.S. Military Academy,Women
Total,0,0,0,U.S. Military Academy,Women
Am. Ind./AN,0,0,0,U.S. Naval Academy,Women
Asian,0,0,0,U.S. Naval Academy,Women
Black,0,0,0,U.S. Naval Academy,Women
Hispanic,0,0,0,U.S. Naval Academy,Women
Nat. Haw./PI,0,0,0,U.S. Naval Academy,Women
US N-R,0,0,0,U.S. Naval Academy,Women
Two or More,0,0,0,U.S. Naval Academy,Women
Unknown,0,0,0,U.S. Naval Academy,Women
White,0,0,0,U.S. Naval Academy,Women
Total,0,0,0,U.S. Naval Academy,Women
Am. Ind./AN,0,0,1,University at Albany,Women
Asian,0,0,1,University at Albany,Women
Black,4,14,6,University at Albany,Women
Hispanic,1,3,6,University at Albany,Women
Nat. Haw./PI,0,0,0,University at Albany,Women
US N-R,4,7,29,University at Albany,Women
Two or More,0,1,4,University at Albany,Women
Unknown,0,0,1,University at Albany,Women
White,5,8,72,University at Albany,Women
Total,14,33,120,University at Albany,Women
Am. Ind./AN,0,0,0,University at Buffalo the State University of New York,Women
Asian,0,0,5,University at Buffalo the State University of New York,Women
Black,6,6,4,University at Buffalo the State University of New York,Women
Hispanic,2,1,10,University at Buffalo the State University of New York,Women
Nat. Haw./PI,0,0,0,University at Buffalo the State University of New York,Women
US N-R,4,4,17,University at Buffalo the State University of New York,Women
Two or More,0,0,0,University at Buffalo the State University of New York,Women
Unknown,1,1,0,University at Buffalo the State University of New York,Women
White,1,7,54,University at Buffalo the State University of New York,Women
Total,14,19,90,University at Buffalo the State University of New York,Women
Am. Ind./AN,0,0,0,University of Akron,Women
Asian,0,0,1,University of Akron,Women
Black,3,9,4,University of Akron,Women
Hispanic,0,0,1,University of Akron,Women
Nat. Haw./PI,0,0,0,University of Akron,Women
US N-R,4,6,22,University of Akron,Women
Two or More,4,1,17,University of Akron,Women
Unknown,1,0,2,University of Akron,Women
White,2,15,99,University of Akron,Women
Total,14,31,146,University of Akron,Women
Am. Ind./AN,0,0,1,University of Alabama,Women
Asian,0,0,1,University of Alabama,Women
Black,7,10,12,University of Alabama,Women
Hispanic,0,0,6,University of Alabama,Women
Nat. Haw./PI,0,0,2,University of Alabama,Women
US N-R,0,4,16,University of Alabama,Women
Two or More,1,0,7,University of Alabama,Women
Unknown,0,0,3,University of Alabama,Women
White,3,15,112,University of Alabama,Women
Total,11,29,160,University of Alabama,Women
Am. Ind./AN,0,0,0,University of Alabama at Birmingham,Women
Asian,0,0,2,University of Alabama at Birmingham,Women
Black,5,11,13,University of Alabama at Birmingham,Women
Hispanic,0,2,5,University of Alabama at Birmingham,Women
Nat. Haw./PI,0,0,0,University of Alabama at Birmingham,Women
US N-R,2,2,15,University of Alabama at Birmingham,Women
Two or More,1,3,7,University of Alabama at Birmingham,Women
Unknown,0,0,1,University of Alabama at Birmingham,Women
White,7,4,69,University of Alabama at Birmingham,Women
Total,15,22,112,University of Alabama at Birmingham,Women
Am. Ind./AN,0,0,0,University of Arizona,Women
Asian,0,0,5,University of Arizona,Women
Black,7,9,9,University of Arizona,Women
Hispanic,0,1,10,University of Arizona,Women
Nat. Haw./PI,0,0,0,University of Arizona,Women
US N-R,1,2,13,University of Arizona,Women
Two or More,2,5,12,University of Arizona,Women
Unknown,0,0,1,University of Arizona,Women
White,1,10,80,University of Arizona,Women
Total,11,27,130,University of Arizona,Women
Am. Ind./AN,1,0,0,University of Arkansas Fayetteville,Women
Asian,0,0,2,University of Arkansas Fayetteville,Women
Black,4,9,7,University of Arkansas Fayetteville,Women
Hispanic,0,3,5,University of Arkansas Fayetteville,Women
Nat. Haw./PI,0,0,1,University of Arkansas Fayetteville,Women
US N-R,1,3,17,University of Arkansas Fayetteville,Women
Two or More,2,1,11,University of Arkansas Fayetteville,Women
Unknown,0,0,1,University of Arkansas Fayetteville,Women
White,5,13,64,University of Arkansas Fayetteville,Women
Total,13,29,108,University of Arkansas Fayetteville,Women
Am. Ind./AN,0,0,0,University of Arkansas Pine Bluff,Women
Asian,0,0,0,University of Arkansas Pine Bluff,Women
Black,15,13,31,University of Arkansas Pine Bluff,Women
Hispanic,0,0,11,University of Arkansas Pine Bluff,Women
Nat. Haw./PI,0,0,0,University of Arkansas Pine Bluff,Women
US N-R,0,6,0,University of Arkansas Pine Bluff,Women
Two or More,0,0,11,University of Arkansas Pine Bluff,Women
Unknown,0,0,0,University of Arkansas Pine Bluff,Women
White,0,0,2,University of Arkansas Pine Bluff,Women
Total,15,19,55,University of Arkansas Pine Bluff,Women
Am. Ind./AN,0,0,0,University of Arkansas at Little Rock,Women
Asian,0,0,0,University of Arkansas at Little Rock,Women
Black,13,20,6,University of Arkansas at Little Rock,Women
Hispanic,0,1,5,University of Arkansas at Little Rock,Women
Nat. Haw./PI,0,0,0,University of Arkansas at Little Rock,Women
US N-R,0,4,21,University of Arkansas at Little Rock,Women
Two or More,0,3,4,University of Arkansas at Little Rock,Women
Unknown,0,0,0,University of Arkansas at Little Rock,Women
White,1,8,34,University of Arkansas at Little Rock,Women
Total,14,36,70,University of Arkansas at Little Rock,Women
Am. Ind./AN,0,0,2,University of California Berkeley,Women
Asian,0,0,26,University of California Berkeley,Women
Black,3,13,36,University of California Berkeley,Women
Hispanic,0,1,3,University of California Berkeley,Women
Nat. Haw./PI,0,0,0,University of California Berkeley,Women
US N-R,6,4,40,University of California Berkeley,Women
Two or More,0,0,0,University of California Berkeley,Women
Unknown,0,0,5,University of California Berkeley,Women
White,2,6,122,University of California Berkeley,Women
Total,11,24,234,University of California Berkeley,Women
Am. Ind./AN,0,0,2,University of California Davis,Women
Asian,0,4,24,University of California Davis,Women
Black,4,7,4,University of California Davis,Women
Hispanic,1,2,18,University of California Davis,Women
Nat. Haw./PI,0,2,1,University of California Davis,Women
US N-R,1,2,4,University of California Davis,Women
Two or More,0,6,40,University of California Davis,Women
Unknown,0,1,0,University of California Davis,Women
White,6,19,167,University of California Davis,Women
Total,12,43,260,University of California Davis,Women
Am. Ind./AN,0,0,0,University of California Irvine,Women
Asian,1,7,13,University of California Irvine,Women
Black,0,11,1,University of California Irvine,Women
Hispanic,3,14,11,University of California Irvine,Women
Nat. Haw./PI,1,1,2,University of California Irvine,Women
US N-R,5,0,6,University of California Irvine,Women
Two or More,3,3,13,University of California Irvine,Women
Unknown,0,0,6,University of California Irvine,Women
White,1,16,46,University of California Irvine,Women
Total,14,52,98,University of California Irvine,Women
Am. Ind./AN,0,0,2,University of California Los Angeles,Women
Asian,0,2,25,University of California Los Angeles,Women
Black,5,12,20,University of California Los Angeles,Women
Hispanic,1,2,20,University of California Los Angeles,Women
Nat. Haw./PI,0,0,1,University of California Los Angeles,Women
US N-R,2,7,19,University of California Los Angeles,Women
Two or More,1,2,10,University of California Los Angeles,Women
Unknown,0,0,8,University of California Los Angeles,Women
White,3,8,96,University of California Los Angeles,Women
Total,12,33,201,University of California Los Angeles,Women
Am. Ind./AN,0,0,0,University of California Riverside,Women
Asian,0,0,9,University of California Riverside,Women
Black,5,6,6,University of California Riverside,Women
Hispanic,0,10,28,University of California Riverside,Women
Nat. Haw./PI,0,0,1,University of California Riverside,Women
US N-R,3,0,1,University of California Riverside,Women
Two or More,4,3,11,University of California Riverside,Women
Unknown,0,1,0,University of California Riverside,Women
White,2,2,13,University of California Riverside,Women
Total,14,22,69,University of California Riverside,Women
Am. Ind./AN,0,0,3,University of California Santa Barbara,Women
Asian,1,5,16,University of California Santa Barbara,Women
Black,5,6,14,University of California Santa Barbara,Women
Hispanic,1,11,20,University of California Santa Barbara,Women
Nat. Haw./PI,0,0,0,University of California Santa Barbara,Women
US N-R,0,0,0,University of California Santa Barbara,Women
Two or More,0,0,0,University of California Santa Barbara,Women
Unknown,1,0,4,University of California Santa Barbara,Women
White,6,11,65,University of California Santa Barbara,Women
Total,14,33,122,University of California Santa Barbara,Women
Am. Ind./AN,0,1,0,University of Central Arkansas,Women
Asian,0,1,3,University of Central Arkansas,Women
Black,7,9,9,University of Central Arkansas,Women
Hispanic,1,2,9,University of Central Arkansas,Women
Nat. Haw./PI,0,0,0,University of Central Arkansas,Women
US N-R,3,0,19,University of Central Arkansas,Women
Two or More,1,0,8,University of Central Arkansas,Women
Unknown,0,0,1,University of Central Arkansas,Women
White,1,11,91,University of Central Arkansas,Women
Total,13,24,140,University of Central Arkansas,Women
Am. Ind./AN,0,1,0,University of Central Florida,Women
Asian,0,0,2,University of Central Florida,Women
Black,12,14,10,University of Central Florida,Women
Hispanic,0,3,15,University of Central Florida,Women
Nat. Haw./PI,0,0,0,University of Central Florida,Women
US N-R,1,7,37,University of Central Florida,Women
Two or More,1,2,5,University of Central Florida,Women
Unknown,0,0,2,University of Central Florida,Women
White,0,3,55,University of Central Florida,Women
Total,14,30,126,University of Central Florida,Women
Am. Ind./AN,0,0,0,University of Cincinnati,Women
Asian,0,0,2,University of Cincinnati,Women
Black,7,11,8,University of Cincinnati,Women
Hispanic,0,0,5,University of Cincinnati,Women
Nat. Haw./PI,0,0,0,University of Cincinnati,Women
US N-R,1,3,14,University of Cincinnati,Women
Two or More,5,2,10,University of Cincinnati,Women
Unknown,1,0,0,University of Cincinnati,Women
White,1,15,91,University of Cincinnati,Women
Total,15,31,130,University of Cincinnati,Women
Am. Ind./AN,0,0,0,University of Colorado Boulder,Women
Asian,0,0,3,University of Colorado Boulder,Women
Black,3,4,0,University of Colorado Boulder,Women
Hispanic,1,2,8,University of Colorado Boulder,Women
Nat. Haw./PI,1,0,0,University of Colorado Boulder,Women
US N-R,3,0,18,University of Colorado Boulder,Women
Two or More,0,1,8,University of Colorado Boulder,Women
Unknown,0,0,0,University of Colorado Boulder,Women
White,3,12,46,University of Colorado Boulder,Women
Total,11,19,83,University of Colorado Boulder,Women
Am. Ind./AN,0,0,0,University of Connecticut,Women
Asian,0,1,3,University of Connecticut,Women
Black,3,12,7,University of Connecticut,Women
Hispanic,0,3,12,University of Connecticut,Women
Nat. Haw./PI,0,0,1,University of Connecticut,Women
US N-R,4,6,37,University of Connecticut,Women
Two or More,5,1,8,University of Connecticut,Women
Unknown,0,0,2,University of Connecticut,Women
White,2,21,126,University of Connecticut,Women
Total,14,44,196,University of Connecticut,Women
Am. Ind./AN,0,0,0,University of Dayton,Women
Asian,0,0,2,University of Dayton,Women
Black,4,7,3,University of Dayton,Women
Hispanic,0,2,1,University of Dayton,Women
Nat. Haw./PI,0,0,1,University of Dayton,Women
US N-R,2,1,7,University of Dayton,Women
Two or More,5,1,6,University of Dayton,Women
Unknown,0,0,0,University of Dayton,Women
White,4,25,103,University of Dayton,Women
Total,15,36,123,University of Dayton,Women
Am. Ind./AN,0,0,0,University of Delaware,Women
Asian,0,0,2,University of Delaware,Women
Black,0,7,16,University of Delaware,Women
Hispanic,0,1,1,University of Delaware,Women
Nat. Haw./PI,0,0,0,University of Delaware,Women
