,Basketball,CC/Track,Other,School
Total,11,37,77,Texas Tech University
Am. Ind./AN,0,0,0,The Citadel
Asian,0,0,0,The Citadel
Black,0,7,3,The Citadel
Hispanic,0,1,6,The Citadel
Nat. Haw./PI,0,0,0,The Citadel
N-R Alien,0,0,4,The Citadel
Two or More,0,2,0,The Citadel
Unknown,0,0,0,The Citadel
White,0,9,25,The Citadel
Total,0,19,38,The Citadel
Am. Ind./AN,0,0,0,The Ohio State University
Asian,0,0,2,The Ohio State University
Black,9,12,5,The Ohio State University
Hispanic,0,0,4,The Ohio State University
Nat. Haw./PI,0,0,0,The Ohio State University
N-R Alien,1,0,52,The Ohio State University
Two or More,1,1,5,The Ohio State University
Unknown,0,1,8,The Ohio State University
White,2,17,190,The Ohio State University
Total,13,31,266,The Ohio State University
Am. Ind./AN,0,1,0,The University of North Carolina at Charlotte
Asian,0,0,0,The University of North Carolina at Charlotte
Black,8,14,3,The University of North Carolina at Charlotte
Hispanic,0,1,2,The University of North Carolina at Charlotte
Nat. Haw./PI,0,0,0,The University of North Carolina at Charlotte
N-R Alien,0,0,5,The University of North Carolina at Charlotte
Two or More,1,1,0,The University of North Carolina at Charlotte
Unknown,3,4,4,The University of North Carolina at Charlotte
White,2,20,45,The University of North Carolina at Charlotte
Total,14,41,59,The University of North Carolina at Charlotte
Am. Ind./AN,0,0,0,The University of North Carolina at Greensboro
Asian,0,0,0,The University of North Carolina at Greensboro
Black,11,0,4,The University of North Carolina at Greensboro
Hispanic,0,1,10,The University of North Carolina at Greensboro
Nat. Haw./PI,0,0,1,The University of North Carolina at Greensboro
N-R Alien,0,2,9,The University of North Carolina at Greensboro
Two or More,1,0,4,The University of North Carolina at Greensboro
Unknown,0,0,0,The University of North Carolina at Greensboro
White,1,4,46,The University of North Carolina at Greensboro
Total,13,7,74,The University of North Carolina at Greensboro
Am. Ind./AN,0,0,0,The University of Southern Mississippi
Asian,0,0,1,The University of Southern Mississippi
Black,8,11,7,The University of Southern Mississippi
Hispanic,0,0,2,The University of Southern Mississippi
Nat. Haw./PI,0,0,0,The University of Southern Mississippi
N-R Alien,0,0,11,The University of Southern Mississippi
Two or More,1,0,0,The University of Southern Mississippi
Unknown,0,0,0,The University of Southern Mississippi
White,3,11,60,The University of Southern Mississippi
Total,12,22,81,The University of Southern Mississippi
Am. Ind./AN,0,0,0,The University of Texas Rio Grande Valley
Asian,0,0,1,The University of Texas Rio Grande Valley
Black,15,9,3,The University of Texas Rio Grande Valley
Hispanic,0,15,8,The University of Texas Rio Grande Valley
Nat. Haw./PI,0,0,2,The University of Texas Rio Grande Valley
N-R Alien,0,2,8,The University of Texas Rio Grande Valley
Two or More,0,0,0,The University of Texas Rio Grande Valley
Unknown,0,1,0,The University of Texas Rio Grande Valley
White,0,0,4,The University of Texas Rio Grande Valley
Total,15,27,26,The University of Texas Rio Grande Valley
Am. Ind./AN,2,0,5,The University of Tulsa
Asian,0,0,4,The University of Tulsa
Black,8,2,7,The University of Tulsa
Hispanic,1,2,11,The University of Tulsa
Nat. Haw./PI,0,0,0,The University of Tulsa
N-R Alien,0,4,13,The University of Tulsa
Two or More,1,1,3,The University of Tulsa
Unknown,0,0,2,The University of Tulsa
White,3,15,96,The University of Tulsa
Total,15,24,141,The University of Tulsa
Am. Ind./AN,0,0,0,Towson University
Asian,0,0,1,Towson University
Black,9,11,9,Towson University
Hispanic,0,3,12,Towson University
Nat. Haw./PI,0,0,2,Towson University
N-R Alien,0,0,8,Towson University
Two or More,3,0,6,Towson University
Unknown,2,3,9,Towson University
White,1,17,110,Towson University
Total,15,34,157,Towson University
Am. Ind./AN,0,0,0,Troy University
Asian,0,0,1,Troy University
Black,9,16,7,Troy University
Hispanic,0,0,1,Troy University
Nat. Haw./PI,0,2,0,Troy University
N-R Alien,2,0,17,Troy University
Two or More,0,3,2,Troy University
Unknown,1,0,3,Troy University
White,2,16,51,Troy University
Total,14,37,82,Troy University
Am. Ind./AN,0,0,1,Tulane University
Asian,0,0,1,Tulane University
Black,8,4,1,Tulane University
Hispanic,0,3,1,Tulane University
Nat. Haw./PI,0,0,0,Tulane University
N-R Alien,0,0,6,Tulane University
Two or More,0,3,4,Tulane University
Unknown,0,0,0,Tulane University
White,6,12,39,Tulane University
Total,14,22,53,Tulane University
Am. Ind./AN,0,0,0,U.S. Air Force Academy
Asian,0,0,0,U.S. Air Force Academy
Black,0,0,0,U.S. Air Force Academy
Hispanic,0,0,0,U.S. Air Force Academy
Nat. Haw./PI,0,0,0,U.S. Air Force Academy
N-R Alien,0,0,0,U.S. Air Force Academy
Two or More,0,0,0,U.S. Air Force Academy
Unknown,0,0,0,U.S. Air Force Academy
White,0,0,0,U.S. Air Force Academy
Total,0,0,0,U.S. Air Force Academy
Am. Ind./AN,0,0,0,U.S. Military Academy
Asian,0,0,0,U.S. Military Academy
Black,0,0,0,U.S. Military Academy
Hispanic,0,0,0,U.S. Military Academy
Nat. Haw./PI,0,0,0,U.S. Military Academy
N-R Alien,0,0,0,U.S. Military Academy
Two or More,0,0,0,U.S. Military Academy
Unknown,0,0,0,U.S. Military Academy
White,0,0,0,U.S. Military Academy
Total,0,0,0,U.S. Military Academy
Am. Ind./AN,0,0,0,U.S. Naval Academy
Asian,0,0,0,U.S. Naval Academy
Black,0,0,0,U.S. Naval Academy
Hispanic,0,0,0,U.S. Naval Academy
Nat. Haw./PI,0,0,0,U.S. Naval Academy
N-R Alien,0,0,0,U.S. Naval Academy
Two or More,0,0,0,U.S. Naval Academy
Unknown,0,0,0,U.S. Naval Academy
White,0,0,0,U.S. Naval Academy
Total,0,0,0,U.S. Naval Academy
Am. Ind./AN,0,0,0,University at Albany
Asian,0,0,1,University at Albany
Black,3,16,4,University at Albany
Hispanic,2,4,6,University at Albany
Nat. Haw./PI,0,0,0,University at Albany
N-R Alien,6,5,21,University at Albany
Two or More,0,0,4,University at Albany
Unknown,0,0,8,University at Albany
White,2,20,83,University at Albany
Total,13,45,127,University at Albany
Am. Ind./AN,0,2,2,University at Buffalo the State University of New York
Asian,1,0,7,University at Buffalo the State University of New York
Black,9,11,7,University at Buffalo the State University of New York
Hispanic,0,4,12,University at Buffalo the State University of New York
Nat. Haw./PI,0,0,1,University at Buffalo the State University of New York
N-R Alien,0,2,14,University at Buffalo the State University of New York
Two or More,0,0,0,University at Buffalo the State University of New York
Unknown,0,0,1,University at Buffalo the State University of New York
White,4,29,131,University at Buffalo the State University of New York
Total,14,48,175,University at Buffalo the State University of New York
Am. Ind./AN,0,0,0,University of Akron
Asian,0,1,0,University of Akron
Black,3,9,2,University of Akron
Hispanic,0,0,2,University of Akron
Nat. Haw./PI,0,0,0,University of Akron
N-R Alien,0,5,11,University of Akron
Two or More,1,2,1,University of Akron
Unknown,2,1,2,University of Akron
White,8,10,79,University of Akron
Total,14,28,97,University of Akron
Am. Ind./AN,0,0,2,University of Alabama
Asian,0,0,2,University of Alabama
Black,14,12,9,University of Alabama
Hispanic,0,1,7,University of Alabama
Nat. Haw./PI,0,0,1,University of Alabama
N-R Alien,1,7,15,University of Alabama
Two or More,0,1,7,University of Alabama
Unknown,0,0,0,University of Alabama
White,2,14,114,University of Alabama
Total,17,35,157,University of Alabama
Am. Ind./AN,0,0,0,University of Alabama at Birmingham
Asian,0,0,1,University of Alabama at Birmingham
Black,11,15,6,University of Alabama at Birmingham
Hispanic,0,0,1,University of Alabama at Birmingham
Nat. Haw./PI,0,0,0,University of Alabama at Birmingham
N-R Alien,0,5,7,University of Alabama at Birmingham
Two or More,3,2,5,University of Alabama at Birmingham
Unknown,0,0,0,University of Alabama at Birmingham
White,1,10,76,University of Alabama at Birmingham
Total,15,32,96,University of Alabama at Birmingham
Am. Ind./AN,0,1,1,University of Arizona
Asian,1,1,3,University of Arizona
Black,13,8,8,University of Arizona
Hispanic,0,0,14,University of Arizona
Nat. Haw./PI,0,0,3,University of Arizona
N-R Alien,0,5,15,University of Arizona
Two or More,0,0,2,University of Arizona
Unknown,0,0,1,University of Arizona
White,1,18,62,University of Arizona
Total,15,33,109,University of Arizona
Am. Ind./AN,0,0,1,University of Arkansas Fayetteville
Asian,0,0,1,University of Arkansas Fayetteville
Black,7,7,11,University of Arkansas Fayetteville
Hispanic,0,2,7,University of Arkansas Fayetteville
Nat. Haw./PI,0,0,0,University of Arkansas Fayetteville
N-R Alien,1,5,13,University of Arkansas Fayetteville
Two or More,0,2,2,University of Arkansas Fayetteville
Unknown,0,0,0,University of Arkansas Fayetteville
White,3,22,83,University of Arkansas Fayetteville
Total,11,38,118,University of Arkansas Fayetteville
Am. Ind./AN,1,0,0,University of Arkansas Pine Bluff
Asian,0,0,0,University of Arkansas Pine Bluff
Black,10,5,22,University of Arkansas Pine Bluff
Hispanic,0,2,6,University of Arkansas Pine Bluff
Nat. Haw./PI,0,0,0,University of Arkansas Pine Bluff
N-R Alien,1,0,6,University of Arkansas Pine Bluff
Two or More,0,0,4,University of Arkansas Pine Bluff
Unknown,0,0,1,University of Arkansas Pine Bluff
White,0,4,2,University of Arkansas Pine Bluff
Total,12,11,41,University of Arkansas Pine Bluff
Am. Ind./AN,0,0,0,University of Arkansas at Little Rock
Asian,0,0,0,University of Arkansas at Little Rock
Black,13,5,3,University of Arkansas at Little Rock
Hispanic,0,0,0,University of Arkansas at Little Rock
Nat. Haw./PI,0,0,0,University of Arkansas at Little Rock
N-R Alien,0,3,17,University of Arkansas at Little Rock
Two or More,0,0,0,University of Arkansas at Little Rock
Unknown,0,0,1,University of Arkansas at Little Rock
White,1,7,34,University of Arkansas at Little Rock
Total,14,15,55,University of Arkansas at Little Rock
Am. Ind./AN,0,1,1,University of California Berkeley
Asian,0,1,19,University of California Berkeley
Black,11,9,9,University of California Berkeley
Hispanic,0,5,16,University of California Berkeley
Nat. Haw./PI,0,0,1,University of California Berkeley
N-R Alien,2,1,36,University of California Berkeley
Two or More,0,0,0,University of California Berkeley
Unknown,0,0,9,University of California Berkeley
White,0,9,124,University of California Berkeley
Total,13,26,215,University of California Berkeley
Am. Ind./AN,0,0,2,University of California Davis
Asian,1,1,14,University of California Davis
Black,0,7,3,University of California Davis
Hispanic,0,0,14,University of California Davis
Nat. Haw./PI,0,1,3,University of California Davis
N-R Alien,0,0,0,University of California Davis
Two or More,0,4,15,University of California Davis
Unknown,1,1,11,University of California Davis
White,9,18,120,University of California Davis
Total,11,32,182,University of California Davis
Am. Ind./AN,0,0,1,University of California Irvine
Asian,2,9,10,University of California Irvine
Black,7,6,4,University of California Irvine
Hispanic,2,5,10,University of California Irvine
Nat. Haw./PI,0,0,0,University of California Irvine
N-R Alien,0,0,0,University of California Irvine
Two or More,0,6,10,University of California Irvine
Unknown,0,1,0,University of California Irvine
White,5,21,51,University of California Irvine
Total,16,48,86,University of California Irvine
Am. Ind./AN,0,0,0,University of California Los Angeles
Asian,0,3,13,University of California Los Angeles
Black,5,12,8,University of California Los Angeles
Hispanic,0,1,12,University of California Los Angeles
Nat. Haw./PI,0,0,4,University of California Los Angeles
N-R Alien,3,3,18,University of California Los Angeles
Two or More,0,1,2,University of California Los Angeles
Unknown,0,1,13,University of California Los Angeles
White,5,14,100,University of California Los Angeles
Total,13,35,170,University of California Los Angeles
Am. Ind./AN,0,0,2,University of California Riverside
Asian,0,0,4,University of California Riverside
Black,11,12,8,University of California Riverside
Hispanic,0,6,23,University of California Riverside
Nat. Haw./PI,0,0,0,University of California Riverside
N-R Alien,0,0,0,University of California Riverside
Two or More,2,6,4,University of California Riverside
Unknown,0,2,1,University of California Riverside
White,0,3,21,University of California Riverside
Total,13,29,63,University of California Riverside
Am. Ind./AN,0,0,0,University of California Santa Barbara
Asian,0,0,3,University of California Santa Barbara
Black,5,2,2,University of California Santa Barbara
Hispanic,0,8,17,University of California Santa Barbara
Nat. Haw./PI,0,0,1,University of California Santa Barbara
N-R Alien,1,4,3,University of California Santa Barbara
Two or More,0,1,10,University of California Santa Barbara
Unknown,0,0,0,University of California Santa Barbara
White,4,17,63,University of California Santa Barbara
Total,10,32,99,University of California Santa Barbara
Am. Ind./AN,0,0,2,University of Central Arkansas
Asian,0,0,0,University of Central Arkansas
Black,8,10,1,University of Central Arkansas
Hispanic,0,2,6,University of Central Arkansas
Nat. Haw./PI,0,0,0,University of Central Arkansas
N-R Alien,1,3,9,University of Central Arkansas
Two or More,0,1,4,University of Central Arkansas
Unknown,2,0,1,University of Central Arkansas
White,1,11,50,University of Central Arkansas
Total,12,27,73,University of Central Arkansas
Am. Ind./AN,0,0,0,University of Central Florida
Asian,0,0,0,University of Central Florida
Black,8,11,8,University of Central Florida
Hispanic,0,2,9,University of Central Florida
Nat. Haw./PI,0,0,0,University of Central Florida
N-R Alien,3,1,23,University of Central Florida
Two or More,1,0,3,University of Central Florida
Unknown,0,0,1,University of Central Florida
White,1,8,64,University of Central Florida
Total,13,22,108,University of Central Florida
Am. Ind./AN,0,0,0,University of Cincinnati
Asian,0,0,1,University of Cincinnati
Black,9,11,4,University of Cincinnati
Hispanic,0,1,2,University of Cincinnati
Nat. Haw./PI,0,0,0,University of Cincinnati
N-R Alien,1,2,13,University of Cincinnati
Two or More,3,1,3,University of Cincinnati
Unknown,0,1,2,University of Cincinnati
White,1,10,74,University of Cincinnati
Total,14,26,99,University of Cincinnati
Am. Ind./AN,0,0,0,University of Colorado Boulder
Asian,0,0,0,University of Colorado Boulder
Black,4,1,3,University of Colorado Boulder
Hispanic,0,0,5,University of Colorado Boulder
Nat. Haw./PI,0,0,0,University of Colorado Boulder
N-R Alien,0,0,12,University of Colorado Boulder
Two or More,4,2,4,University of Colorado Boulder
Unknown,0,1,1,University of Colorado Boulder
White,5,18,53,University of Colorado Boulder
Total,13,22,78,University of Colorado Boulder
Am. Ind./AN,0,0,1,University of Connecticut
Asian,0,0,0,University of Connecticut
Black,5,13,5,University of Connecticut
Hispanic,2,1,7,University of Connecticut
Nat. Haw./PI,0,0,0,University of Connecticut
N-R Alien,0,2,21,University of Connecticut
Two or More,1,2,3,University of Connecticut
Unknown,0,1,13,University of Connecticut
White,2,8,108,University of Connecticut
Total,10,27,158,University of Connecticut
Am. Ind./AN,0,0,0,University of Dayton
Asian,0,0,2,University of Dayton
Black,3,4,2,University of Dayton
Hispanic,0,2,2,University of Dayton
Nat. Haw./PI,0,0,0,University of Dayton
N-R Alien,3,0,3,University of Dayton
Two or More,0,0,0,University of Dayton
Unknown,0,0,2,University of Dayton
White,6,30,51,University of Dayton
Total,12,36,62,University of Dayton
Am. Ind./AN,0,0,0,University of Delaware
Asian,0,0,1,University of Delaware
Black,8,12,3,University of Delaware
Hispanic,0,0,4,University of Delaware
Nat. Haw./PI,0,0,3,University of Delaware
N-R Alien,0,1,3,University of Delaware
Two or More,0,1,0,University of Delaware
Unknown,0,0,1,University of Delaware
White,4,20,151,University of Delaware
Total,12,34,166,University of Delaware
Am. Ind./AN,0,0,0,University of Denver
Asian,0,0,2,University of Denver
Black,2,0,5,University of Denver
Hispanic,2,0,5,University of Denver
Nat. Haw./PI,0,0,0,University of Denver
N-R Alien,0,0,21,University of Denver
Two or More,1,0,4,University of Denver
Unknown,0,0,4,University of Denver
White,10,0,72,University of Denver
Total,15,0,113,University of Denver
Am. Ind./AN,0,0,0,University of Detroit Mercy
Asian,0,0,1,University of Detroit Mercy
Black,4,8,2,University of Detroit Mercy
Hispanic,0,1,2,University of Detroit Mercy
Nat. Haw./PI,0,0,0,University of Detroit Mercy
N-R Alien,2,2,17,University of Detroit Mercy
Two or More,0,0,2,University of Detroit Mercy
Unknown,1,4,5,University of Detroit Mercy
White,6,17,56,University of Detroit Mercy
Total,13,32,85,University of Detroit Mercy
Am. Ind./AN,0,0,0,University of Evansville
Asian,0,0,2,University of Evansville
Black,1,0,1,University of Evansville
Hispanic,0,0,3,University of Evansville
Nat. Haw./PI,0,0,0,University of Evansville
N-R Alien,0,0,6,University of Evansville
Two or More,2,0,1,University of Evansville
Unknown,2,0,1,University of Evansville
White,7,10,59,University of Evansville
Total,12,10,73,University of Evansville
Am. Ind./AN,0,0,0,University of Florida
Asian,0,0,1,University of Florida
Black,6,15,11,University of Florida
Hispanic,2,1,10,University of Florida
Nat. Haw./PI,0,0,0,University of Florida
N-R Alien,1,3,20,University of Florida
Two or More,0,0,0,University of Florida
Unknown,0,0,9,University of Florida
White,1,11,84,University of Florida
Total,10,30,135,University of Florida
Am. Ind./AN,0,0,0,University of Georgia
Asian,0,1,1,University of Georgia
Black,9,9,9,University of Georgia
Hispanic,0,0,6,University of Georgia
Nat. Haw./PI,0,0,3,University of Georgia
N-R Alien,0,7,12,University of Georgia
Two or More,2,0,7,University of Georgia
Unknown,0,0,2,University of Georgia
White,3,15,139,University of Georgia
Total,14,32,179,University of Georgia
Am. Ind./AN,0,0,0,University of Hartford
Asian,0,0,0,University of Hartford
Black,5,4,6,University of Hartford
Hispanic,0,2,1,University of Hartford
Nat. Haw./PI,0,0,0,University of Hartford
N-R Alien,0,0,10,University of Hartford
Two or More,0,0,0,University of Hartford
Unknown,0,0,0,University of Hartford
White,9,9,33,University of Hartford
Total,14,15,50,University of Hartford
Am. Ind./AN,0,0,0,University of Hawaii Manoa
Asian,0,3,14,University of Hawaii Manoa
Black,5,6,2,University of Hawaii Manoa
Hispanic,0,0,6,University of Hawaii Manoa
Nat. Haw./PI,2,1,7,University of Hawaii Manoa
N-R Alien,1,2,27,University of Hawaii Manoa
Two or More,5,9,22,University of Hawaii Manoa
Unknown,0,0,0,University of Hawaii Manoa
White,0,7,37,University of Hawaii Manoa
Total,13,28,115,University of Hawaii Manoa
Am. Ind./AN,0,0,0,University of Houston
Asian,0,0,0,University of Houston
Black,14,25,6,University of Houston
Hispanic,0,2,7,University of Houston
Nat. Haw./PI,0,0,0,University of Houston
N-R Alien,0,1,10,University of Houston
Two or More,0,0,4,University of Houston
Unknown,0,1,0,University of Houston
White,1,7,37,University of Houston
Total,15,36,64,University of Houston
Am. Ind./AN,0,0,0,University of Idaho
Asian,0,0,3,University of Idaho
Black,0,0,0,University of Idaho
Hispanic,0,0,5,University of Idaho
Nat. Haw./PI,0,0,1,University of Idaho
N-R Alien,4,6,12,University of Idaho
Two or More,1,1,4,University of Idaho
Unknown,1,0,0,University of Idaho
White,5,16,52,University of Idaho
Total,11,23,77,University of Idaho
Am. Ind./AN,0,0,0,University of Illinois Chicago
Asian,0,0,2,University of Illinois Chicago
Black,7,2,5,University of Illinois Chicago
Hispanic,0,0,7,University of Illinois Chicago
Nat. Haw./PI,0,0,0,University of Illinois Chicago
N-R Alien,2,0,15,University of Illinois Chicago
Two or More,0,0,0,University of Illinois Chicago
Unknown,0,0,0,University of Illinois Chicago
White,4,9,51,University of Illinois Chicago
Total,13,11,80,University of Illinois Chicago
Am. Ind./AN,0,0,0,University of Illinois Urbana-Champaign
Asian,0,0,4,University of Illinois Urbana-Champaign
Black,9,10,3,University of Illinois Urbana-Champaign
Hispanic,0,0,5,University of Illinois Urbana-Champaign
Nat. Haw./PI,0,0,0,University of Illinois Urbana-Champaign
N-R Alien,0,0,0,University of Illinois Urbana-Champaign
Two or More,2,0,5,University of Illinois Urbana-Champaign
Unknown,0,0,0,University of Illinois Urbana-Champaign
White,5,16,92,University of Illinois Urbana-Champaign
Total,16,26,109,University of Illinois Urbana-Champaign
Am. Ind./AN,0,1,0,University of Iowa
Asian,0,0,1,University of Iowa
Black,3,7,2,University of Iowa
Hispanic,0,4,4,University of Iowa
Nat. Haw./PI,0,0,1,University of Iowa
N-R Alien,0,5,21,University of Iowa
Two or More,0,0,4,University of Iowa
Unknown,1,0,4,University of Iowa
White,10,21,127,University of Iowa
Total,14,38,164,University of Iowa
Am. Ind./AN,0,0,1,University of Kansas
Asian,0,0,0,University of Kansas
Black,12,14,6,University of Kansas
Hispanic,0,0,7,University of Kansas
Nat. Haw./PI,0,0,0,University of Kansas
N-R Alien,0,4,19,University of Kansas
Two or More,0,4,16,University of Kansas
Unknown,0,0,1,University of Kansas
White,0,15,108,University of Kansas
Total,12,37,158,University of Kansas
Am. Ind./AN,0,0,0,University of Kentucky
Asian,0,0,0,University of Kentucky
Black,3,3,5,University of Kentucky
Hispanic,0,0,0,University of Kentucky
Nat. Haw./PI,0,0,0,University of Kentucky
N-R Alien,0,0,1,University of Kentucky
Two or More,0,0,0,University of Kentucky
Unknown,0,0,0,University of Kentucky
White,0,4,24,University of Kentucky
Total,3,7,30,University of Kentucky
Am. Ind./AN,0,0,0,University of Louisiana Monroe
Asian,0,0,1,University of Louisiana Monroe
Black,12,14,2,University of Louisiana Monroe
Hispanic,0,1,9,University of Louisiana Monroe
Nat. Haw./PI,0,0,0,University of Louisiana Monroe
N-R Alien,1,4,17,University of Louisiana Monroe
Two or More,2,1,2,University of Louisiana Monroe
Unknown,0,1,1,University of Louisiana Monroe
White,0,4,50,University of Louisiana Monroe
Total,15,25,82,University of Louisiana Monroe
Am. Ind./AN,0,0,1,University of Louisiana at Lafayette
Asian,0,0,0,University of Louisiana at Lafayette
Black,11,15,9,University of Louisiana at Lafayette
Hispanic,0,0,2,University of Louisiana at Lafayette
Nat. Haw./PI,0,0,0,University of Louisiana at Lafayette
N-R Alien,0,0,1,University of Louisiana at Lafayette
Two or More,0,1,3,University of Louisiana at Lafayette
Unknown,0,0,1,University of Louisiana at Lafayette
White,2,20,68,University of Louisiana at Lafayette
Total,13,36,85,University of Louisiana at Lafayette
Am. Ind./AN,0,0,0,University of Louisville
Asian,0,0,0,University of Louisville
Black,1,7,5,University of Louisville
Hispanic,0,0,5,University of Louisville
Nat. Haw./PI,0,0,0,University of Louisville
N-R Alien,0,0,3,University of Louisville
Two or More,0,0,0,University of Louisville
Unknown,0,0,0,University of Louisville
White,0,5,37,University of Louisville
Total,1,12,50,University of Louisville
Am. Ind./AN,0,0,0,University of Maine
Asian,0,0,0,University of Maine
Black,4,0,0,University of Maine
Hispanic,0,0,0,University of Maine
Nat. Haw./PI,0,0,0,University of Maine
N-R Alien,6,3,45,University of Maine
Two or More,0,1,2,University of Maine
Unknown,0,0,0,University of Maine
White,5,11,44,University of Maine
Total,15,15,91,University of Maine
Am. Ind./AN,0,0,0,University of Maryland Baltimore County
Asian,0,1,1,University of Maryland Baltimore County
Black,4,16,6,University of Maryland Baltimore County
Hispanic,0,0,2,University of Maryland Baltimore County
Nat. Haw./PI,0,0,0,University of Maryland Baltimore County
N-R Alien,0,1,19,University of Maryland Baltimore County
Two or More,0,1,1,University of Maryland Baltimore County
Unknown,0,0,0,University of Maryland Baltimore County
White,10,11,82,University of Maryland Baltimore County
Total,14,30,111,University of Maryland Baltimore County
Am. Ind./AN,0,0,1,University of Maryland College Park
Asian,0,0,3,University of Maryland College Park
Black,9,17,5,University of Maryland College Park
Hispanic,0,2,8,University of Maryland College Park
Nat. Haw./PI,0,0,0,University of Maryland College Park
N-R Alien,0,0,16,University of Maryland College Park
Two or More,3,1,6,University of Maryland College Park
Unknown,0,0,2,University of Maryland College Park
White,2,11,91,University of Maryland College Park
Total,14,31,132,University of Maryland College Park
Am. Ind./AN,0,0,0,University of Maryland Eastern Shore
Asian,0,0,0,University of Maryland Eastern Shore
Black,0,0,0,University of Maryland Eastern Shore
Hispanic,0,0,0,University of Maryland Eastern Shore
Nat. Haw./PI,0,0,0,University of Maryland Eastern Shore
N-R Alien,0,0,0,University of Maryland Eastern Shore
Two or More,0,0,0,University of Maryland Eastern Shore
Unknown,0,0,0,University of Maryland Eastern Shore
White,0,0,0,University of Maryland Eastern Shore
Total,0,0,0,University of Maryland Eastern Shore
Am. Ind./AN,0,0,1,University of Massachusetts Amherst
Asian,0,1,2,University of Massachusetts Amherst
Black,7,3,3,University of Massachusetts Amherst
Hispanic,1,1,9,University of Massachusetts Amherst
Nat. Haw./PI,0,0,0,University of Massachusetts Amherst
N-R Alien,0,0,9,University of Massachusetts Amherst
Two or More,2,1,1,University of Massachusetts Amherst
Unknown,0,0,0,University of Massachusetts Amherst
White,3,16,129,University of Massachusetts Amherst
Total,13,22,154,University of Massachusetts Amherst
Am. Ind./AN,0,0,0,University of Massachusetts Lowell
Asian,0,0,2,University of Massachusetts Lowell
Black,4,3,2,University of Massachusetts Lowell
Hispanic,0,0,3,University of Massachusetts Lowell
Nat. Haw./PI,0,0,0,University of Massachusetts Lowell
N-R Alien,1,0,4,University of Massachusetts Lowell
Two or More,1,0,2,University of Massachusetts Lowell
Unknown,0,1,5,University of Massachusetts Lowell
White,8,18,53,University of Massachusetts Lowell
Total,14,22,71,University of Massachusetts Lowell
Am. Ind./AN,0,0,0,University of Memphis
Asian,0,0,0,University of Memphis
Black,13,7,4,University of Memphis
Hispanic,0,4,4,University of Memphis
Nat. Haw./PI,0,0,0,University of Memphis
N-R Alien,0,9,23,University of Memphis
Two or More,0,3,3,University of Memphis
Unknown,0,0,3,University of Memphis
White,1,12,45,University of Memphis
Total,14,35,82,University of Memphis
Am. Ind./AN,0,0,0,University of Miami (Florida)
Asian,0,0,2,University of Miami (Florida)
Black,9,19,3,University of Miami (Florida)
Hispanic,0,0,6,University of Miami (Florida)
Nat. Haw./PI,0,0,1,University of Miami (Florida)
N-R Alien,0,1,25,University of Miami (Florida)
Two or More,1,0,7,University of Miami (Florida)
Unknown,1,1,4,University of Miami (Florida)
White,1,0,38,University of Miami (Florida)
Total,12,21,86,University of Miami (Florida)
Am. Ind./AN,0,0,2,University of Michigan
Asian,0,0,5,University of Michigan
Black,4,6,8,University of Michigan
Hispanic,0,2,14,University of Michigan
Nat. Haw./PI,0,0,0,University of Michigan
N-R Alien,1,1,17,University of Michigan
Two or More,1,1,4,University of Michigan
Unknown,1,0,10,University of Michigan
White,4,14,140,University of Michigan
Total,11,24,200,University of Michigan
Am. Ind./AN,0,0,1,University of Minnesota Twin Cities
Asian,0,0,2,University of Minnesota Twin Cities
Black,1,3,3,University of Minnesota Twin Cities
Hispanic,0,0,6,University of Minnesota Twin Cities
Nat. Haw./PI,0,0,1,University of Minnesota Twin Cities
N-R Alien,1,3,20,University of Minnesota Twin Cities
Two or More,1,2,9,University of Minnesota Twin Cities
Unknown,1,1,0,University of Minnesota Twin Cities
White,6,37,130,University of Minnesota Twin Cities
Total,10,46,172,University of Minnesota Twin Cities
Am. Ind./AN,0,0,0,University of Mississippi
Asian,0,0,0,University of Mississippi
Black,10,23,2,University of Mississippi
Hispanic,1,1,7,University of Mississippi
Nat. Haw./PI,0,0,2,University of Mississippi
N-R Alien,0,0,0,University of Mississippi
Two or More,0,1,3,University of Mississippi
Unknown,0,0,0,University of Mississippi
White,1,13,59,University of Mississippi
Total,12,38,73,University of Mississippi
Am. Ind./AN,0,0,1,University of Missouri-Kansas City
Asian,0,0,0,University of Missouri-Kansas City
Black,5,10,0,University of Missouri-Kansas City
Hispanic,0,1,3,University of Missouri-Kansas City
Nat. Haw./PI,0,0,0,University of Missouri-Kansas City
N-R Alien,0,1,5,University of Missouri-Kansas City
Two or More,1,0,4,University of Missouri-Kansas City
Unknown,0,1,5,University of Missouri-Kansas City
White,9,15,43,University of Missouri-Kansas City
Total,15,28,61,University of Missouri-Kansas City
Am. Ind./AN,0,0,1,University of Missouri Columbia
Asian,0,0,1,University of Missouri Columbia
Black,3,7,7,University of Missouri Columbia
Hispanic,0,0,2,University of Missouri Columbia
Nat. Haw./PI,0,0,0,University of Missouri Columbia
N-R Alien,1,2,11,University of Missouri Columbia
Two or More,1,2,7,University of Missouri Columbia
Unknown,0,1,4,University of Missouri Columbia
White,8,23,90,University of Missouri Columbia
Total,13,35,123,University of Missouri Columbia
Am. Ind./AN,2,0,0,University of Montana
Asian,0,0,1,University of Montana
Black,0,0,4,University of Montana
Hispanic,0,1,1,University of Montana
Nat. Haw./PI,0,0,1,University of Montana
N-R Alien,0,2,5,University of Montana
