,Basketball,Baseball,CC/Track,Football,Other,School
Hispanic,0,1,0,1,0,Eastern Kentucky University
Nat. Haw./PI,0,0,0,0,0,Eastern Kentucky University
N-R Alien,0,0,9,1,6,Eastern Kentucky University
Two or More,0,0,0,2,0,Eastern Kentucky University
Unknown,1,2,0,0,0,Eastern Kentucky University
White,5,24,2,37,7,Eastern Kentucky University
Total,13,27,13,84,13,Eastern Kentucky University
Am. Ind./AN,0,0,0,0,0,Eastern Michigan University
Asian,0,1,2,0,0,Eastern Michigan University
Black,12,2,29,63,1,Eastern Michigan University
Hispanic,0,0,2,2,4,Eastern Michigan University
Nat. Haw./PI,0,0,0,2,0,Eastern Michigan University
N-R Alien,1,5,5,2,14,Eastern Michigan University
Two or More,2,2,5,7,3,Eastern Michigan University
Unknown,0,3,3,4,3,Eastern Michigan University
White,1,29,35,43,67,Eastern Michigan University
Total,16,42,81,123,92,Eastern Michigan University
Am. Ind./AN,0,0,0,0,0,Eastern Washington University
Asian,0,0,0,1,0,Eastern Washington University
Black,1,0,1,23,0,Eastern Washington University
Hispanic,0,0,0,3,1,Eastern Washington University
Nat. Haw./PI,0,0,0,5,0,Eastern Washington University
N-R Alien,7,0,1,0,4,Eastern Washington University
Two or More,1,0,2,9,0,Eastern Washington University
Unknown,0,0,0,0,0,Eastern Washington University
White,3,0,17,36,2,Eastern Washington University
Total,12,0,21,77,7,Eastern Washington University
Am. Ind./AN,0,0,0,0,0,Elon University
Asian,0,0,0,1,0,Elon University
Black,5,0,0,46,1,Elon University
Hispanic,0,6,1,0,2,Elon University
Nat. Haw./PI,0,0,0,0,0,Elon University
N-R Alien,1,1,0,0,11,Elon University
Two or More,0,0,1,4,0,Elon University
Unknown,0,1,0,1,0,Elon University
White,11,31,9,53,40,Elon University
Total,17,39,11,105,54,Elon University
Am. Ind./AN,0,0,0,0,0,Fairfield University
Asian,0,0,0,0,0,Fairfield University
Black,8,0,0,0,1,Fairfield University
Hispanic,0,1,2,0,1,Fairfield University
Nat. Haw./PI,0,0,0,0,0,Fairfield University
N-R Alien,0,0,0,0,9,Fairfield University
Two or More,0,0,0,0,0,Fairfield University
Unknown,0,0,1,0,0,Fairfield University
White,3,20,7,0,59,Fairfield University
Total,11,21,10,0,70,Fairfield University
Am. Ind./AN,0,0,0,0,0,Fairleigh Dickinson University Metropolitan Campus
Asian,0,0,0,0,0,Fairleigh Dickinson University Metropolitan Campus
Black,6,0,6,0,0,Fairleigh Dickinson University Metropolitan Campus
Hispanic,1,1,1,0,2,Fairleigh Dickinson University Metropolitan Campus
Nat. Haw./PI,0,0,0,0,0,Fairleigh Dickinson University Metropolitan Campus
N-R Alien,3,0,3,0,18,Fairleigh Dickinson University Metropolitan Campus
Two or More,0,0,0,0,1,Fairleigh Dickinson University Metropolitan Campus
Unknown,1,1,1,0,1,Fairleigh Dickinson University Metropolitan Campus
White,4,15,4,0,5,Fairleigh Dickinson University Metropolitan Campus
Total,15,17,15,0,27,Fairleigh Dickinson University Metropolitan Campus
Am. Ind./AN,0,0,0,0,0,Florida A&M University
Asian,0,0,0,0,0,Florida A&M University
Black,12,11,13,69,11,Florida A&M University
Hispanic,0,0,0,0,0,Florida A&M University
Nat. Haw./PI,0,0,0,0,0,Florida A&M University
N-R Alien,0,1,5,0,0,Florida A&M University
Two or More,0,0,0,0,0,Florida A&M University
Unknown,0,0,0,0,0,Florida A&M University
White,1,10,0,8,3,Florida A&M University
Total,13,22,18,77,14,Florida A&M University
Am. Ind./AN,0,0,0,0,0,Florida Atlantic University
Asian,0,0,0,0,0,Florida Atlantic University
Black,2,0,0,16,1,Florida Atlantic University
Hispanic,0,2,0,1,1,Florida Atlantic University
Nat. Haw./PI,0,0,0,0,0,Florida Atlantic University
N-R Alien,0,0,0,0,4,Florida Atlantic University
Two or More,0,2,0,0,1,Florida Atlantic University
Unknown,0,0,0,0,0,Florida Atlantic University
White,3,8,1,8,5,Florida Atlantic University
Total,5,12,1,25,12,Florida Atlantic University
Am. Ind./AN,0,0,0,0,0,Florida Gulf Coast University
Asian,0,0,0,0,1,Florida Gulf Coast University
Black,6,0,1,0,1,Florida Gulf Coast University
Hispanic,0,6,1,0,13,Florida Gulf Coast University
Nat. Haw./PI,0,0,0,0,0,Florida Gulf Coast University
N-R Alien,1,0,2,0,3,Florida Gulf Coast University
Two or More,1,0,0,0,2,Florida Gulf Coast University
Unknown,0,0,0,0,1,Florida Gulf Coast University
White,5,20,5,0,13,Florida Gulf Coast University
Total,13,26,9,0,34,Florida Gulf Coast University
Am. Ind./AN,0,0,0,0,0,Florida International University
Asian,0,0,0,0,0,Florida International University
Black,2,0,2,18,0,Florida International University
Hispanic,1,2,1,1,7,Florida International University
Nat. Haw./PI,0,0,0,1,0,Florida International University
N-R Alien,0,0,1,0,3,Florida International University
Two or More,0,0,0,0,0,Florida International University
Unknown,0,0,0,0,0,Florida International University
White,1,6,0,2,1,Florida International University
Total,4,8,4,22,11,Florida International University
Am. Ind./AN,0,0,0,0,0,Florida State University
Asian,0,0,0,0,2,Florida State University
Black,6,0,5,58,2,Florida State University
Hispanic,1,3,1,2,1,Florida State University
Nat. Haw./PI,0,0,0,0,0,Florida State University
N-R Alien,4,0,11,1,12,Florida State University
Two or More,0,3,0,1,4,Florida State University
Unknown,0,1,0,7,1,Florida State University
White,0,20,7,11,30,Florida State University
Total,11,27,24,80,52,Florida State University
Am. Ind./AN,0,0,0,0,0,Fordham University
Asian,0,0,0,0,1,Fordham University
Black,7,0,1,20,0,Fordham University
Hispanic,0,1,0,5,2,Fordham University
Nat. Haw./PI,0,0,0,0,0,Fordham University
N-R Alien,1,0,1,1,9,Fordham University
Two or More,1,0,1,3,1,Fordham University
Unknown,0,1,1,2,1,Fordham University
White,4,24,12,28,18,Fordham University
Total,13,26,16,59,32,Fordham University
Am. Ind./AN,0,0,0,0,0,Furman University
Asian,0,0,0,0,1,Furman University
Black,6,0,0,31,1,Furman University
Hispanic,0,0,0,1,5,Furman University
Nat. Haw./PI,0,0,0,0,0,Furman University
N-R Alien,2,0,0,0,3,Furman University
Two or More,2,0,2,4,0,Furman University
Unknown,2,1,0,9,4,Furman University
White,1,23,11,26,41,Furman University
Total,13,24,13,71,55,Furman University
Am. Ind./AN,0,0,1,0,1,Gardner-Webb University
Asian,0,0,0,3,4,Gardner-Webb University
Black,8,0,6,42,61,Gardner-Webb University
Hispanic,0,0,0,2,2,Gardner-Webb University
Nat. Haw./PI,0,0,0,0,0,Gardner-Webb University
N-R Alien,0,0,1,2,21,Gardner-Webb University
Two or More,0,0,0,0,0,Gardner-Webb University
Unknown,1,3,3,5,13,Gardner-Webb University
White,3,23,14,16,65,Gardner-Webb University
Total,12,26,25,70,167,Gardner-Webb University
Am. Ind./AN,0,0,0,0,0,George Mason University
Asian,0,1,1,0,3,George Mason University
Black,11,0,7,0,3,George Mason University
Hispanic,0,0,1,0,7,George Mason University
Nat. Haw./PI,0,0,0,0,0,George Mason University
N-R Alien,1,1,1,0,4,George Mason University
Two or More,0,0,3,0,2,George Mason University
Unknown,1,1,1,0,2,George Mason University
White,0,22,7,0,38,George Mason University
Total,13,25,21,0,59,George Mason University
Am. Ind./AN,0,0,0,0,0,George Washington University
Asian,0,0,0,0,2,George Washington University
Black,5,0,0,0,1,George Washington University
Hispanic,0,0,0,0,4,George Washington University
Nat. Haw./PI,0,0,0,0,0,George Washington University
N-R Alien,4,0,0,0,20,George Washington University
Two or More,0,0,0,0,1,George Washington University
Unknown,1,0,0,0,3,George Washington University
White,1,16,5,0,36,George Washington University
Total,11,16,5,0,67,George Washington University
Am. Ind./AN,0,0,0,0,0,Georgetown University
Asian,0,0,0,0,8,Georgetown University
Black,11,0,6,27,4,Georgetown University
Hispanic,0,1,1,2,12,Georgetown University
Nat. Haw./PI,0,0,0,0,0,Georgetown University
N-R Alien,0,0,0,0,0,Georgetown University
Two or More,1,1,1,7,9,Georgetown University
Unknown,0,0,0,2,6,Georgetown University
White,3,29,32,49,176,Georgetown University
Total,15,31,40,87,215,Georgetown University
Am. Ind./AN,0,1,0,0,0,Georgia Institute of Technology
Asian,0,0,0,0,2,Georgia Institute of Technology
Black,9,1,8,54,0,Georgia Institute of Technology
Hispanic,1,2,4,1,0,Georgia Institute of Technology
Nat. Haw./PI,0,0,0,0,0,Georgia Institute of Technology
N-R Alien,0,0,0,1,10,Georgia Institute of Technology
Two or More,1,1,1,7,3,Georgia Institute of Technology
Unknown,0,0,0,6,0,Georgia Institute of Technology
White,3,24,12,22,36,Georgia Institute of Technology
Total,14,29,25,91,51,Georgia Institute of Technology
Am. Ind./AN,0,0,0,0,0,Georgia Southern University
Asian,0,0,0,0,0,Georgia Southern University
Black,11,2,0,65,2,Georgia Southern University
Hispanic,1,1,0,1,5,Georgia Southern University
Nat. Haw./PI,0,0,0,0,0,Georgia Southern University
N-R Alien,0,0,0,0,2,Georgia Southern University
Two or More,0,0,0,1,0,Georgia Southern University
Unknown,0,0,0,0,0,Georgia Southern University
White,1,25,0,0,27,Georgia Southern University
Total,13,28,0,67,36,Georgia Southern University
Am. Ind./AN,0,0,0,0,0,Georgia State University
Asian,0,0,0,0,1,Georgia State University
Black,10,2,0,16,5,Georgia State University
Hispanic,0,0,1,1,3,Georgia State University
Nat. Haw./PI,0,0,0,0,0,Georgia State University
N-R Alien,1,1,1,1,17,Georgia State University
Two or More,1,1,0,2,1,Georgia State University
Unknown,1,3,0,0,0,Georgia State University
White,1,21,1,9,12,Georgia State University
Total,14,28,3,29,39,Georgia State University
Am. Ind./AN,0,1,0,0,0,Gonzaga University
Asian,0,0,0,0,0,Gonzaga University
Black,3,1,0,0,2,Gonzaga University
Hispanic,1,0,1,0,2,Gonzaga University
Nat. Haw./PI,0,0,0,0,0,Gonzaga University
N-R Alien,2,0,0,0,10,Gonzaga University
Two or More,0,0,1,0,0,Gonzaga University
Unknown,0,0,0,0,0,Gonzaga University
White,6,14,12,0,16,Gonzaga University
Total,12,16,14,0,30,Gonzaga University
Am. Ind./AN,0,0,0,0,0,Grambling State University
Asian,0,0,0,0,0,Grambling State University
Black,10,8,25,71,0,Grambling State University
Hispanic,0,3,0,1,0,Grambling State University
Nat. Haw./PI,0,0,0,0,0,Grambling State University
N-R Alien,0,5,1,0,0,Grambling State University
Two or More,0,0,0,0,0,Grambling State University
Unknown,0,0,0,0,0,Grambling State University
White,0,6,0,0,0,Grambling State University
Total,10,22,26,72,0,Grambling State University
Am. Ind./AN,0,0,0,0,0,Grand Canyon University
Asian,0,0,0,0,0,Grand Canyon University
Black,7,1,7,0,1,Grand Canyon University
Hispanic,0,0,0,0,0,Grand Canyon University
Nat. Haw./PI,0,2,0,0,1,Grand Canyon University
N-R Alien,1,0,3,0,29,Grand Canyon University
Two or More,1,0,4,0,3,Grand Canyon University
Unknown,0,4,1,0,25,Grand Canyon University
White,4,20,5,0,46,Grand Canyon University
Total,13,27,20,0,105,Grand Canyon University
Am. Ind./AN,0,0,0,0,0,Hampton University
Asian,16,0,0,1,0,Hampton University
Black,0,0,17,89,0,Hampton University
Hispanic,0,0,0,1,0,Hampton University
Nat. Haw./PI,0,0,0,0,0,Hampton University
N-R Alien,0,0,1,0,0,Hampton University
Two or More,0,0,0,0,0,Hampton University
Unknown,0,0,0,0,0,Hampton University
White,0,0,1,3,0,Hampton University
Total,16,0,19,94,0,Hampton University
Am. Ind./AN,0,0,0,0,0,Harvard University
Asian,0,0,0,0,0,Harvard University
Black,0,0,0,0,0,Harvard University
Hispanic,0,0,0,0,0,Harvard University
Nat. Haw./PI,0,0,0,0,0,Harvard University
N-R Alien,0,0,0,0,0,Harvard University
Two or More,0,0,0,0,0,Harvard University
Unknown,0,0,0,0,0,Harvard University
White,0,0,0,0,0,Harvard University
Total,0,0,0,0,0,Harvard University
Am. Ind./AN,0,0,1,0,0,High Point University
Asian,0,0,0,0,0,High Point University
Black,8,1,3,0,7,High Point University
Hispanic,1,2,0,0,2,High Point University
Nat. Haw./PI,0,0,0,0,0,High Point University
N-R Alien,0,0,0,0,0,High Point University
Two or More,2,1,0,0,0,High Point University
Unknown,0,0,0,0,0,High Point University
White,3,21,11,0,43,High Point University
Total,14,25,15,0,52,High Point University
Am. Ind./AN,0,0,0,0,0,Hofstra University
Asian,0,0,0,0,1,Hofstra University
Black,8,1,0,0,3,Hofstra University
Hispanic,1,0,0,0,6,Hofstra University
Nat. Haw./PI,0,0,0,0,0,Hofstra University
N-R Alien,0,1,2,0,21,Hofstra University
Two or More,0,0,0,0,1,Hofstra University
Unknown,0,0,0,0,0,Hofstra University
White,1,25,2,0,44,Hofstra University
Total,10,27,4,0,76,Hofstra University
Am. Ind./AN,0,0,0,0,0,Houston Christian University
Asian,0,0,0,1,0,Houston Christian University
Black,8,0,10,18,3,Houston Christian University
Hispanic,0,3,9,4,6,Houston Christian University
Nat. Haw./PI,0,0,0,0,0,Houston Christian University
N-R Alien,2,0,0,0,6,Houston Christian University
Two or More,0,1,1,3,2,Houston Christian University
Unknown,1,0,0,8,1,Houston Christian University
White,5,22,4,9,12,Houston Christian University
Total,16,26,24,43,30,Houston Christian University
Am. Ind./AN,0,0,0,0,0,Howard University
Asian,0,0,0,0,0,Howard University
Black,0,0,10,71,16,Howard University
Hispanic,0,0,0,2,2,Howard University
Nat. Haw./PI,0,0,0,0,0,Howard University
N-R Alien,0,0,5,0,2,Howard University
Two or More,0,0,0,0,3,Howard University
Unknown,0,0,0,4,1,Howard University
White,0,0,0,2,0,Howard University
Total,0,0,15,79,24,Howard University
Am. Ind./AN,0,0,0,0,0,Idaho State University
Asian,0,0,0,0,0,Idaho State University
Black,4,0,2,12,0,Idaho State University
Hispanic,1,0,0,6,0,Idaho State University
Nat. Haw./PI,0,0,0,2,0,Idaho State University
N-R Alien,4,0,1,0,4,Idaho State University
Two or More,1,0,2,10,0,Idaho State University
Unknown,0,0,0,0,1,Idaho State University
White,3,0,21,46,3,Idaho State University
Total,13,0,26,76,8,Idaho State University
Am. Ind./AN,0,0,0,1,0,Illinois State University
Asian,0,0,0,0,0,Illinois State University
Black,8,0,9,31,0,Illinois State University
Hispanic,1,1,2,3,0,Illinois State University
Nat. Haw./PI,0,0,0,0,0,Illinois State University
N-R Alien,2,0,2,1,7,Illinois State University
Two or More,0,0,1,8,0,Illinois State University
Unknown,0,0,0,0,1,Illinois State University
White,0,31,22,40,9,Illinois State University
Total,11,32,36,84,17,Illinois State University
Am. Ind./AN,0,0,0,0,0,Indiana State University
Asian,0,0,0,0,0,Indiana State University
Black,7,0,9,39,0,Indiana State University
Hispanic,0,3,2,1,0,Indiana State University
Nat. Haw./PI,0,0,0,0,0,Indiana State University
N-R Alien,0,0,2,0,0,Indiana State University
Two or More,2,0,3,12,0,Indiana State University
Unknown,0,0,0,0,0,Indiana State University
White,4,23,21,36,0,Indiana State University
Total,13,26,37,88,0,Indiana State University
Am. Ind./AN,0,0,0,0,1,Indiana University Bloomington
Asian,0,0,0,0,2,Indiana University Bloomington
Black,6,1,8,38,3,Indiana University Bloomington
Hispanic,0,1,0,2,1,Indiana University Bloomington
Nat. Haw./PI,0,0,0,0,0,Indiana University Bloomington
N-R Alien,2,0,4,0,7,Indiana University Bloomington
Two or More,0,0,3,4,1,Indiana University Bloomington
Unknown,1,0,0,4,0,Indiana University Bloomington
White,4,22,11,40,62,Indiana University Bloomington
Total,13,24,26,88,77,Indiana University Bloomington
Am. Ind./AN,0,0,0,0,0,Indiana University Indianapolis
Asian,0,0,1,0,4,Indiana University Indianapolis
Black,11,0,2,0,8,Indiana University Indianapolis
Hispanic,0,0,1,0,8,Indiana University Indianapolis
Nat. Haw./PI,0,0,0,0,1,Indiana University Indianapolis
N-R Alien,0,0,0,0,4,Indiana University Indianapolis
Two or More,2,0,1,0,0,Indiana University Indianapolis
Unknown,0,0,1,0,0,Indiana University Indianapolis
White,3,0,19,0,52,Indiana University Indianapolis
Total,16,0,25,0,77,Indiana University Indianapolis
Am. Ind./AN,1,0,0,0,0,Iona University
Asian,0,0,0,0,0,Iona University
Black,6,0,0,0,5,Iona University
Hispanic,1,1,0,0,4,Iona University
Nat. Haw./PI,0,0,0,0,0,Iona University
N-R Alien,0,0,10,0,6,Iona University
Two or More,1,0,0,0,0,Iona University
Unknown,3,1,0,0,2,Iona University
White,1,24,7,0,23,Iona University
Total,13,26,17,0,40,Iona University
Am. Ind./AN,0,0,0,0,0,Iowa State University
Asian,0,0,1,0,0,Iowa State University
Black,8,0,4,42,5,Iowa State University
Hispanic,0,0,0,4,4,Iowa State University
Nat. Haw./PI,0,0,0,0,2,Iowa State University
N-R Alien,2,0,3,1,5,Iowa State University
Two or More,1,0,1,3,2,Iowa State University
Unknown,1,0,1,4,0,Iowa State University
White,1,0,19,34,15,Iowa State University
Total,13,0,29,88,33,Iowa State University
Am. Ind./AN,0,0,0,0,0,Jackson State University
Asian,0,0,0,0,0,Jackson State University
Black,11,16,11,63,4,Jackson State University
Hispanic,0,2,1,0,5,Jackson State University
Nat. Haw./PI,0,0,0,0,0,Jackson State University
N-R Alien,0,0,0,0,0,Jackson State University
Two or More,0,3,0,2,0,Jackson State University
Unknown,1,0,0,1,1,Jackson State University
White,0,1,0,3,3,Jackson State University
Total,12,22,12,69,13,Jackson State University
Am. Ind./AN,0,0,0,0,0,Jacksonville State University
Asian,0,0,0,0,0,Jacksonville State University
Black,13,1,2,57,0,Jacksonville State University
Hispanic,0,1,0,0,0,Jacksonville State University
Nat. Haw./PI,0,0,0,0,0,Jacksonville State University
N-R Alien,0,0,1,1,20,Jacksonville State University
Two or More,0,0,0,1,0,Jacksonville State University
Unknown,0,0,0,0,0,Jacksonville State University
White,0,26,5,29,12,Jacksonville State University
Total,13,28,8,88,32,Jacksonville State University
Am. Ind./AN,1,1,0,0,2,Jacksonville University
Asian,0,0,0,0,0,Jacksonville University
Black,8,2,0,0,5,Jacksonville University
Hispanic,0,1,0,0,4,Jacksonville University
Nat. Haw./PI,0,0,0,0,0,Jacksonville University
N-R Alien,0,0,0,0,0,Jacksonville University
Two or More,0,3,0,0,8,Jacksonville University
Unknown,0,0,0,0,4,Jacksonville University
White,2,18,0,0,73,Jacksonville University
Total,11,25,0,0,96,Jacksonville University
Am. Ind./AN,0,0,0,0,0,James Madison University
Asian,0,0,0,0,1,James Madison University
Black,5,1,0,48,2,James Madison University
Hispanic,0,2,0,3,1,James Madison University
Nat. Haw./PI,0,0,0,1,0,James Madison University
N-R Alien,6,0,0,0,20,James Madison University
Two or More,0,0,0,4,1,James Madison University
Unknown,0,2,0,1,0,James Madison University
White,4,33,0,43,36,James Madison University
Total,15,38,0,100,61,James Madison University
Am. Ind./AN,0,0,0,0,0,Kansas State University
Asian,0,1,0,0,0,Kansas State University
Black,9,0,5,37,0,Kansas State University
Hispanic,0,1,0,0,0,Kansas State University
Nat. Haw./PI,0,0,2,2,0,Kansas State University
N-R Alien,1,0,5,0,0,Kansas State University
Two or More,1,1,3,8,0,Kansas State University
Unknown,0,3,0,1,1,Kansas State University
White,2,22,10,34,11,Kansas State University
Total,13,28,25,82,12,Kansas State University
Am. Ind./AN,0,0,0,0,0,Kennesaw State University
Asian,0,0,0,0,1,Kennesaw State University
Black,10,1,11,0,0,Kennesaw State University
Hispanic,1,0,1,0,0,Kennesaw State University
Nat. Haw./PI,0,0,0,0,0,Kennesaw State University
N-R Alien,0,0,0,0,0,Kennesaw State University
Two or More,0,0,1,0,1,Kennesaw State University
Unknown,1,2,1,0,0,Kennesaw State University
White,1,27,7,0,15,Kennesaw State University
Total,13,30,21,0,17,Kennesaw State University
Am. Ind./AN,0,1,0,1,0,Kent State University
Asian,0,0,0,0,0,Kent State University
Black,12,0,14,37,1,Kent State University
Hispanic,0,1,0,1,1,Kent State University
Nat. Haw./PI,0,0,0,0,1,Kent State University
N-R Alien,0,0,0,0,2,Kent State University
Two or More,0,0,0,3,0,Kent State University
Unknown,0,0,0,0,0,Kent State University
White,1,23,27,42,27,Kent State University
Total,13,25,41,84,32,Kent State University
Am. Ind./AN,0,0,0,0,0,La Salle University
Asian,0,0,0,0,0,La Salle University
Black,9,1,3,0,4,La Salle University
Hispanic,0,3,3,0,2,La Salle University
Nat. Haw./PI,0,0,0,0,0,La Salle University
N-R Alien,0,0,0,0,1,La Salle University
Two or More,1,0,1,0,1,La Salle University
Unknown,1,0,1,0,3,La Salle University
White,2,20,14,0,57,La Salle University
Total,13,24,22,0,68,La Salle University
Am. Ind./AN,0,0,0,1,0,Lafayette College
Asian,0,0,0,0,1,Lafayette College
Black,1,0,2,13,5,Lafayette College
Hispanic,0,0,1,2,3,Lafayette College
Nat. Haw./PI,0,0,0,0,0,Lafayette College
N-R Alien,2,0,0,0,0,Lafayette College
Two or More,1,0,0,3,0,Lafayette College
Unknown,1,0,1,3,2,Lafayette College
White,7,5,1,42,18,Lafayette College
Total,12,5,5,64,29,Lafayette College
Am. Ind./AN,0,0,0,1,0,Lamar University
Asian,0,0,0,2,0,Lamar University
Black,10,2,6,35,0,Lamar University
Hispanic,0,1,1,2,0,Lamar University
Nat. Haw./PI,0,0,0,0,0,Lamar University
N-R Alien,2,1,8,0,8,Lamar University
Two or More,0,0,0,0,0,Lamar University
Unknown,1,0,1,6,0,Lamar University
White,1,20,7,36,7,Lamar University
Total,14,24,23,82,15,Lamar University
Am. Ind./AN,0,0,0,0,0,Lehigh University
Asian,0,0,0,0,0,Lehigh University
Black,6,0,3,21,2,Lehigh University
Hispanic,0,0,1,5,3,Lehigh University
Nat. Haw./PI,0,0,0,0,0,Lehigh University
N-R Alien,2,0,0,0,2,Lehigh University
Two or More,1,0,0,7,1,Lehigh University
Unknown,0,1,0,2,0,Lehigh University
White,4,10,11,45,44,Lehigh University
Total,13,11,15,80,52,Lehigh University
Am. Ind./AN,0,0,0,0,0,Liberty University
Asian,0,0,0,0,0,Liberty University
Black,3,1,1,29,0,Liberty University
Hispanic,0,0,0,0,6,Liberty University
Nat. Haw./PI,0,0,0,1,0,Liberty University
N-R Alien,3,0,5,4,9,Liberty University
Two or More,0,0,1,4,1,Liberty University
Unknown,1,3,4,13,3,Liberty University
White,6,23,13,26,17,Liberty University
Total,13,27,24,77,36,Liberty University
Am. Ind./AN,0,0,1,0,0,Lipscomb University
Asian,0,1,1,0,2,Lipscomb University
Black,10,1,5,0,2,Lipscomb University
Hispanic,0,0,1,0,4,Lipscomb University
Nat. Haw./PI,0,0,0,0,0,Lipscomb University
N-R Alien,0,0,0,0,0,Lipscomb University
Two or More,0,0,1,0,0,Lipscomb University
Unknown,0,0,0,0,4,Lipscomb University
White,4,33,42,0,38,Lipscomb University
Total,14,35,51,0,50,Lipscomb University
Am. Ind./AN,0,0,0,0,1,Long Beach State University
Asian,0,0,0,0,3,Long Beach State University
Black,11,1,19,0,0,Long Beach State University
Hispanic,1,7,10,0,4,Long Beach State University
Nat. Haw./PI,0,0,0,0,1,Long Beach State University
N-R Alien,0,0,0,0,6,Long Beach State University
Two or More,4,4,4,0,6,Long Beach State University
Unknown,0,0,0,0,0,Long Beach State University
White,1,23,21,0,42,Long Beach State University
Total,17,35,54,0,63,Long Beach State University
Am. Ind./AN,0,0,0,0,0,Long Island University
Asian,1,0,0,0,0,Long Island University
Black,7,2,11,0,0,Long Island University
Hispanic,2,4,1,0,1,Long Island University
Nat. Haw./PI,0,0,0,0,1,Long Island University
N-R Alien,3,1,6,0,7,Long Island University
Two or More,0,0,0,0,0,Long Island University
Unknown,0,0,0,0,1,Long Island University
White,0,17,2,0,19,Long Island University
Total,13,24,20,0,29,Long Island University
Am. Ind./AN,0,1,0,0,0,Longwood University
Asian,0,0,0,0,1,Longwood University
Black,11,2,1,0,3,Longwood University
Hispanic,0,0,0,0,3,Longwood University
Nat. Haw./PI,0,0,0,0,0,Longwood University
N-R Alien,0,0,0,0,11,Longwood University
Two or More,0,1,1,0,0,Longwood University
Unknown,0,1,0,0,2,Longwood University
White,6,25,7,0,22,Longwood University
Total,17,30,9,0,42,Longwood University
Am. Ind./AN,0,0,0,1,0,Louisiana State University
Asian,0,0,0,0,1,Louisiana State University
Black,9,0,12,61,0,Louisiana State University
Hispanic,0,4,0,0,2,Louisiana State University
Nat. Haw./PI,0,0,0,1,0,Louisiana State University
N-R Alien,2,0,3,1,10,Louisiana State University
Two or More,1,0,2,6,2,Louisiana State University
Unknown,0,0,0,0,1,Louisiana State University
White,1,20,7,15,21,Louisiana State University
Total,13,24,24,85,37,Louisiana State University
Am. Ind./AN,0,0,0,0,0,Louisiana Tech University
Asian,0,0,0,0,0,Louisiana Tech University
Black,10,1,14,41,1,Louisiana Tech University
Hispanic,0,0,0,0,0,Louisiana Tech University
Nat. Haw./PI,0,0,0,0,0,Louisiana Tech University
N-R Alien,1,0,2,0,2,Louisiana Tech University
Two or More,0,0,0,0,0,Louisiana Tech University
Unknown,1,1,0,13,1,Louisiana Tech University
White,1,25,6,25,5,Louisiana Tech University
Total,13,27,22,79,9,Louisiana Tech University
Am. Ind./AN,0,0,0,0,0,Loyola Marymount University
Asian,0,1,0,0,4,Loyola Marymount University
Black,5,0,0,0,1,Loyola Marymount University
Hispanic,0,4,3,0,10,Loyola Marymount University
Nat. Haw./PI,0,0,0,0,0,Loyola Marymount University
N-R Alien,4,0,0,0,8,Loyola Marymount University
Two or More,0,4,1,0,2,Loyola Marymount University
Unknown,0,0,0,0,0,Loyola Marymount University
White,3,13,6,0,20,Loyola Marymount University
Total,12,22,10,0,45,Loyola Marymount University
Am. Ind./AN,0,0,0,0,0,Loyola University Chicago
Asian,0,0,0,0,0,Loyola University Chicago
Black,4,0,1,0,0,Loyola University Chicago
Hispanic,0,0,2,0,1,Loyola University Chicago
Nat. Haw./PI,0,0,0,0,0,Loyola University Chicago
N-R Alien,0,0,1,0,1,Loyola University Chicago
Two or More,2,0,3,0,0,Loyola University Chicago
Unknown,1,0,0,0,1,Loyola University Chicago
White,5,0,15,0,31,Loyola University Chicago
Total,12,0,22,0,34,Loyola University Chicago
Am. Ind./AN,0,0,0,0,0,Loyola University Maryland
Asian,0,0,1,0,2,Loyola University Maryland
Black,10,0,0,0,1,Loyola University Maryland
Hispanic,0,0,0,0,10,Loyola University Maryland
Nat. Haw./PI,0,0,0,0,0,Loyola University Maryland
N-R Alien,1,0,0,0,10,Loyola University Maryland
Two or More,0,0,0,0,1,Loyola University Maryland
Unknown,0,0,0,0,0,Loyola University Maryland
White,4,0,18,0,121,Loyola University Maryland
Total,15,0,19,0,145,Loyola University Maryland
Am. Ind./AN,0,0,0,0,0,Manhattan University
Asian,0,0,0,0,0,Manhattan University
Black,0,0,0,0,0,Manhattan University
Hispanic,0,0,0,0,0,Manhattan University
Nat. Haw./PI,0,0,0,0,0,Manhattan University
N-R Alien,0,0,0,0,0,Manhattan University
Two or More,0,0,0,0,0,Manhattan University
Unknown,0,0,0,0,0,Manhattan University
White,0,0,0,0,0,Manhattan University
Total,0,0,0,0,0,Manhattan University
Am. Ind./AN,0,0,0,0,0,Marist University
Asian,0,0,1,0,6,Marist University
Black,7,1,3,29,5,Marist University
Hispanic,1,0,4,10,12,Marist University
Nat. Haw./PI,0,0,0,0,0,Marist University
N-R Alien,0,0,0,0,14,Marist University
Two or More,0,0,1,4,5,Marist University
Unknown,1,5,5,3,13,Marist University
White,5,31,42,81,114,Marist University
Total,14,37,56,127,169,Marist University
Am. Ind./AN,0,0,0,0,0,Marquette University
Asian,0,0,0,0,0,Marquette University
Black,9,0,6,0,1,Marquette University
Hispanic,1,0,2,0,2,Marquette University
Nat. Haw./PI,0,0,0,0,0,Marquette University
N-R Alien,0,0,1,0,12,Marquette University
Two or More,0,0,1,0,3,Marquette University
Unknown,0,0,0,0,0,Marquette University
White,2,0,32,0,63,Marquette University
Total,12,0,42,0,81,Marquette University
