Race,Men Basketball 0,Men Baseball 0,Men CC/Track 0,Men Football 2,Men Other 0,School,Sport Category,Men Football 0,Men Other 1,Men Football 1,Men Other 2,Men Basketball 1,Men CC/Track 1,Men Baseball 1,Men Football 4,Men Other 4,Men CC/Track 3,Men Other 9,Men Football 3,Men Baseball 2,Men Baseball 7,Men Other 7
,,,,,,Lamar University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Lamar University,Men,,,0,,,,,,,,,,,,
,,,,,,Lamar University,Men,,,,,,,,,,,,,,,
N-R Alien,2,1,8,,8,Lamar University,Men,,,0,,,,,,,,,,,,
,,,,,,Lamar University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Lamar University,Men,,,0,,,,,,,,,,,,
,,,,,,Lamar University,Men,,,,,,,,,,,,,,,
Unknown,1,0,1,,0,Lamar University,Men,,,6,,,,,,,,,,,,
,,,,,,Lamar University,Men,,,,,,,,,,,,,,,
White,1,20,7,,7,Lamar University,Men,,,36,,,,,,,,,,,,
,,,,,,Lamar University,Men,,,,,,,,,,,,,,,
Total,14,24,23,,15,Lamar University,Men,,,82,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Lehigh University,Men,0,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Black,6,0,3,,2,Lehigh University,Men,21,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,1,,3,Lehigh University,Men,5,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Lehigh University,Men,0,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,2,Lehigh University,Men,0,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,1,Lehigh University,Men,7,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Unknown,0,1,0,,0,Lehigh University,Men,2,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
White,4,10,11,,44,Lehigh University,Men,45,,,,,,,,,,,,,,
,,,,,,Lehigh University,Men,,,,,,,,,,,,,,,
Total,13,11,15,,52,Lehigh University,Men,80,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Liberty University,Men,0,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Black,3,1,1,,0,Liberty University,Men,29,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,6,Liberty University,Men,0,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Liberty University,Men,1,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
N-R Alien,3,0,5,,9,Liberty University,Men,4,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Two or More,0,0,1,,1,Liberty University,Men,4,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Unknown,1,3,4,,3,Liberty University,Men,13,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
White,6,23,13,,17,Liberty University,Men,26,,,,,,,,,,,,,,
,,,,,,Liberty University,Men,,,,,,,,,,,,,,,
Total,13,27,24,,36,Liberty University,Men,77,,,,,,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Asian,0,1,,,2,Lipscomb University,Men,0,,,,,1,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Black,10,1,,,2,Lipscomb University,Men,0,,,,,5,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,,,4,Lipscomb University,Men,0,,,,,1,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,,,0,Lipscomb University,Men,0,,,,,0,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,,,0,Lipscomb University,Men,0,,,,,0,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Two or More,0,0,,,0,Lipscomb University,Men,0,,,,,1,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Unknown,0,0,,,4,Lipscomb University,Men,0,,,,,0,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
White,4,33,,,38,Lipscomb University,Men,0,,,,,42,,,,,,,,,
,,,,,,Lipscomb University,Men,,,,,,,,,,,,,,,
Total,14,35,,,50,Lipscomb University,Men,0,,,,,51,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,,Long Beach State University,Men,0,3,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Black,11,1,19,,,Long Beach State University,Men,0,0,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Hispanic,1,7,10,,,Long Beach State University,Men,0,4,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Long Beach State University,Men,0,1,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,,Long Beach State University,Men,0,6,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Two or More,4,4,4,,,Long Beach State University,Men,0,6,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,,Long Beach State University,Men,0,0,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
White,1,23,21,,,Long Beach State University,Men,0,42,,,,,,,,,,,,,
,,,,,,Long Beach State University,Men,,,,,,,,,,,,,,,
Total,17,35,54,,,Long Beach State University,Men,0,63,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Asian,1,0,0,,0,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Black,7,2,11,,0,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Hispanic,2,4,1,,1,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,1,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
N-R Alien,3,1,6,,7,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,1,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
White,0,17,2,,19,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Long Island University,Men,,,,,,,,,,,,,,,
Total,13,24,20,,29,Long Island University,Men,0,,,,,,,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Asian,0,,0,,1,Longwood University,Men,0,,,,,,0,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Black,11,,1,,3,Longwood University,Men,0,,,,,,2,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Hispanic,0,,0,,3,Longwood University,Men,0,,,,,,0,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,Longwood University,Men,0,,,,,,0,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
N-R Alien,0,,0,,11,Longwood University,Men,0,,,,,,0,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Two or More,0,,1,,0,Longwood University,Men,0,,,,,,1,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Unknown,0,,0,,2,Longwood University,Men,0,,,,,,1,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
White,6,,7,,22,Longwood University,Men,0,,,,,,25,,,,,,,,
,,,,,,Longwood University,Men,,,,,,,,,,,,,,,
Total,17,,9,,42,Longwood University,Men,0,,,,,,30,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,Louisiana State University,Men,,,0,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Black,9,0,12,,0,Louisiana State University,Men,,,61,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Hispanic,0,4,0,,2,Louisiana State University,Men,,,0,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Louisiana State University,Men,,,1,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
N-R Alien,2,0,3,,10,Louisiana State University,Men,,,1,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Two or More,1,0,2,,2,Louisiana State University,Men,,,6,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,1,Louisiana State University,Men,,,0,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
White,1,20,7,,21,Louisiana State University,Men,,,15,,,,,,,,,,,,
,,,,,,Louisiana State University,Men,,,,,,,,,,,,,,,
Total,13,24,24,,37,Louisiana State University,Men,,,85,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Louisiana Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Black,10,1,14,,1,Louisiana Tech University,Men,41,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Louisiana Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Louisiana Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,2,,2,Louisiana Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Louisiana Tech University,Men,0,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Unknown,1,1,0,,1,Louisiana Tech University,Men,13,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
White,1,25,6,,5,Louisiana Tech University,Men,25,,,,,,,,,,,,,,
,,,,,,Louisiana Tech University,Men,,,,,,,,,,,,,,,
Total,13,27,22,,9,Louisiana Tech University,Men,79,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Asian,0,1,0,,4,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Black,5,0,0,,1,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Hispanic,0,4,3,,10,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
N-R Alien,4,0,0,,8,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Two or More,0,4,1,,2,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
White,3,13,6,,20,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola Marymount University,Men,,,,,,,,,,,,,,,
Total,12,22,10,,45,Loyola Marymount University,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Black,4,0,1,,0,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Hispanic,0,0,2,,1,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,1,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Two or More,2,0,3,,0,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Unknown,1,0,0,,1,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
White,5,0,15,,31,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Chicago,Men,,,,,,,,,,,,,,,
Total,12,0,22,,34,Loyola University Chicago,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Asian,0,0,1,,2,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Black,10,0,0,,1,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,10,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
N-R Alien,1,0,0,,10,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,1,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
White,4,0,18,,121,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Loyola University Maryland,Men,,,,,,,,,,,,,,,
Total,15,0,19,,145,Loyola University Maryland,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Black,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Two or More,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
White,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Manhattan University,Men,,,,,,,,,,,,,,,
Total,0,0,0,,0,Manhattan University,Men,0,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Asian,0,0,1,,6,Marist University,Men,0,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Black,7,1,3,,5,Marist University,Men,29,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Hispanic,1,0,4,,12,Marist University,Men,10,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Marist University,Men,0,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,14,Marist University,Men,0,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Two or More,0,0,1,,5,Marist University,Men,4,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Unknown,1,5,5,,13,Marist University,Men,3,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
White,5,31,42,,114,Marist University,Men,81,,,,,,,,,,,,,,
,,,,,,Marist University,Men,,,,,,,,,,,,,,,
Total,14,37,56,,169,Marist University,Men,127,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Black,9,0,6,,1,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Hispanic,1,0,2,,2,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,12,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Two or More,0,0,1,,3,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
White,2,0,32,,63,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marquette University,Men,,,,,,,,,,,,,,,
Total,12,0,42,,81,Marquette University,Men,0,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Marshall University,Men,0,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Black,11,0,0,,3,Marshall University,Men,58,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Hispanic,0,6,0,,3,Marshall University,Men,0,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,1,0,,0,Marshall University,Men,0,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,0,Marshall University,Men,0,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Two or More,1,1,0,,1,Marshall University,Men,6,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,3,Marshall University,Men,3,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
White,0,19,7,,29,Marshall University,Men,18,,,,,,,,,,,,,,
,,,,,,Marshall University,Men,,,,,,,,,,,,,,,
Total,12,27,7,,39,Marshall University,Men,85,,,,,,,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Asian,0,,0,,0,McNeese State University,Men,,,0,,,,0,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Black,13,,6,,0,McNeese State University,Men,,,40,,,,1,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Hispanic,0,,3,,1,McNeese State University,Men,,,1,,,,1,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,,0,,0,McNeese State University,Men,,,0,,,,0,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,,6,,3,McNeese State University,Men,,,0,,,,2,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Two or More,0,,0,,0,McNeese State University,Men,,,1,,,,0,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Unknown,0,,0,,0,McNeese State University,Men,,,0,,,,0,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
White,0,,8,,3,McNeese State University,Men,,,30,,,,20,,,,,,,,
,,,,,,McNeese State University,Men,,,,,,,,,,,,,,,
Total,13,,23,,7,McNeese State University,Men,,,73,,,,25,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,2,Mercer University,Men,0,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Black,6,3,2,,2,Mercer University,Men,1,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Hispanic,0,0,0,,1,Mercer University,Men,0,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Mercer University,Men,0,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
N-R Alien,0,1,1,,9,Mercer University,Men,0,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Two or More,1,0,0,,2,Mercer University,Men,0,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Unknown,1,0,0,,2,Mercer University,Men,1,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
White,4,20,5,,49,Mercer University,Men,1,,,,,,,,,,,,,,
,,,,,,Mercer University,Men,,,,,,,,,,,,,,,
Total,12,24,8,,67,Mercer University,Men,3,,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Asian,0,1,0,,,Miami University (Ohio),Men,0,0,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Black,4,0,3,,,Miami University (Ohio),Men,40,0,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Hispanic,0,0,2,,,Miami University (Ohio),Men,0,0,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,,Miami University (Ohio),Men,0,0,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
N-R Alien,2,0,0,,,Miami University (Ohio),Men,1,0,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Two or More,0,2,2,,,Miami University (Ohio),Men,3,2,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Unknown,2,1,0,,,Miami University (Ohio),Men,1,1,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
White,1,21,38,,,Miami University (Ohio),Men,35,57,,,,,,,,,,,,,
,,,,,,Miami University (Ohio),Men,,,,,,,,,,,,,,,
Total,9,25,45,,,Miami University (Ohio),Men,80,61,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,1,Michigan State University,Men,0,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Black,5,0,4,,3,Michigan State University,Men,41,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Hispanic,1,0,0,,6,Michigan State University,Men,0,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Michigan State University,Men,0,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,0,,7,Michigan State University,Men,2,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Two or More,3,0,0,,3,Michigan State University,Men,3,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,1,,2,Michigan State University,Men,8,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
White,4,24,20,,86,Michigan State University,Men,30,,,,,,,,,,,,,,
,,,,,,Michigan State University,Men,,,,,,,,,,,,,,,
Total,13,24,25,,108,Michigan State University,Men,84,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,2,Middle Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Black,12,2,17,,1,Middle Tennessee State University,Men,73,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,0,,0,Middle Tennessee State University,Men,1,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Nat. Haw./PI,0,0,0,,0,Middle Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
N-R Alien,0,0,1,,0,Middle Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Two or More,1,0,1,,0,Middle Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Unknown,0,0,0,,0,Middle Tennessee State University,Men,0,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
White,0,30,1,,16,Middle Tennessee State University,Men,24,,,,,,,,,,,,,,
,,,,,,Middle Tennessee State University,Men,,,,,,,,,,,,,,,
Total,13,33,20,,19,Middle Tennessee State University,Men,98,,,,,,,,,,,,,,
,,,,,,Mississippi State University,Men,,,,,,,,,,,,,,,
Asian,0,0,0,,0,Mississippi State University,Men,0,,,,,,,,,,,,,,
,,,,,,Mississippi State University,Men,,,,,,,,,,,,,,,
Black,9,1,15,,0,Mississippi State University,Men,66,,,,,,,,,,,,,,
,,,,,,Mississippi State University,Men,,,,,,,,,,,,,,,
Hispanic,0,1,2,,0,Mississippi State University,Men,2,,,,,,,,,,,,,,
,,,,,,Mississippi State University,Men,,,,,,,,,,,,,,,
