Race,Men  Basketball,Men  Baseball,Men  CC/Track,Men  Football,Men  Other,School,Sport Category
Am. Ind./AN,0,0,0,0,0,Lehigh University,Men
Asian,0,0,0,0,0,Lehigh University,Men
Black,5,0,0,20,2,Lehigh University,Men
Hispanic,0,0,1,4,8,Lehigh University,Men
Nat. Haw./PI,0,0,0,0,0,Lehigh University,Men
US N-R,2,0,0,1,2,Lehigh University,Men
Two or More,3,3,0,2,4,Lehigh University,Men
Unknown,0,1,0,1,1,Lehigh University,Men
White,2,19,6,38,59,Lehigh University,Men
Total,12,23,7,66,76,Lehigh University,Men
Am. Ind./AN,0,1,1,0,0,Liberty University,Men
Asian,0,0,0,0,0,Liberty University,Men
Black,3,3,13,64,5,Liberty University,Men
Hispanic,1,4,2,5,1,Liberty University,Men
Nat. Haw./PI,0,0,1,0,1,Liberty University,Men
US N-R,1,1,5,3,0,Liberty University,Men
Two or More,0,3,2,10,0,Liberty University,Men
Unknown,1,1,1,4,1,Liberty University,Men
White,15,31,41,69,21,Liberty University,Men
Total,21,44,66,155,29,Liberty University,Men
Am. Ind./AN,0,0,0,0,0,Lipscomb University,Men
Asian,0,0,0,0,1,Lipscomb University,Men
Black,4,1,6,0,3,Lipscomb University,Men
Hispanic,0,2,1,0,5,Lipscomb University,Men
Nat. Haw./PI,0,0,0,0,0,Lipscomb University,Men
US N-R,0,0,0,0,8,Lipscomb University,Men
Two or More,1,2,1,0,1,Lipscomb University,Men
Unknown,0,0,0,0,0,Lipscomb University,Men
White,8,24,20,0,15,Lipscomb University,Men
Total,13,29,28,0,33,Lipscomb University,Men
Am. Ind./AN,0,0,0,0,0,Long Beach State University,Men
Asian,0,0,0,0,2,Long Beach State University,Men
Black,10,1,11,0,0,Long Beach State University,Men
Hispanic,1,2,6,0,6,Long Beach State University,Men
Nat. Haw./PI,0,0,0,0,0,Long Beach State University,Men
US N-R,2,0,0,0,3,Long Beach State University,Men
Two or More,1,2,3,0,3,Long Beach State University,Men
Unknown,0,0,0,0,1,Long Beach State University,Men
White,0,21,14,0,34,Long Beach State University,Men
Total,14,26,34,0,49,Long Beach State University,Men
Am. Ind./AN,0,0,0,0,0,Long Island University,Men
Asian,0,0,1,1,1,Long Island University,Men
Black,7,3,6,47,10,Long Island University,Men
Hispanic,2,1,11,9,17,Long Island University,Men
Nat. Haw./PI,0,0,0,0,0,Long Island University,Men
US N-R,4,2,6,4,86,Long Island University,Men
Two or More,0,2,0,8,4,Long Island University,Men
Unknown,0,0,2,2,10,Long Island University,Men
White,0,18,5,21,84,Long Island University,Men
Total,13,26,31,92,212,Long Island University,Men
Am. Ind./AN,0,0,0,0,0,Longwood University,Men
Asian,0,0,1,0,0,Longwood University,Men
Black,8,2,2,0,1,Longwood University,Men
Hispanic,0,2,0,0,0,Longwood University,Men
Nat. Haw./PI,0,0,0,0,0,Longwood University,Men
US N-R,3,0,0,0,20,Longwood University,Men
Two or More,2,2,1,0,1,Longwood University,Men
Unknown,0,0,0,0,0,Longwood University,Men
White,0,24,12,0,11,Longwood University,Men
Total,13,30,16,0,33,Longwood University,Men
Am. Ind./AN,0,0,0,0,0,Louisiana State University,Men
Asian,0,0,0,0,0,Louisiana State University,Men
Black,10,5,6,52,0,Louisiana State University,Men
Hispanic,0,5,0,2,0,Louisiana State University,Men
Nat. Haw./PI,0,0,0,1,0,Louisiana State University,Men
US N-R,0,0,7,1,13,Louisiana State University,Men
Two or More,0,1,0,3,0,Louisiana State University,Men
Unknown,0,1,1,1,0,Louisiana State University,Men
White,0,15,8,14,20,Louisiana State University,Men
Total,10,27,22,74,33,Louisiana State University,Men
Am. Ind./AN,0,0,0,0,0,Louisiana Tech University,Men
Asian,0,0,0,0,0,Louisiana Tech University,Men
Black,5,0,8,62,0,Louisiana Tech University,Men
Hispanic,2,3,0,0,0,Louisiana Tech University,Men
Nat. Haw./PI,0,0,0,1,0,Louisiana Tech University,Men
US N-R,1,0,5,1,1,Louisiana Tech University,Men
Two or More,0,0,0,0,0,Louisiana Tech University,Men
Unknown,0,0,4,8,0,Louisiana Tech University,Men
White,0,26,3,11,5,Louisiana Tech University,Men
Total,8,29,20,83,6,Louisiana Tech University,Men
Am. Ind./AN,0,0,0,0,0,Loyola Marymount University,Men
Asian,0,0,0,0,0,Loyola Marymount University,Men
Black,4,1,1,0,2,Loyola Marymount University,Men
Hispanic,0,9,3,0,11,Loyola Marymount University,Men
Nat. Haw./PI,0,0,0,0,0,Loyola Marymount University,Men
US N-R,4,0,0,0,13,Loyola Marymount University,Men
Two or More,1,4,2,0,5,Loyola Marymount University,Men
Unknown,0,0,0,0,0,Loyola Marymount University,Men
White,1,11,1,0,14,Loyola Marymount University,Men
Total,10,25,7,0,45,Loyola Marymount University,Men
Am. Ind./AN,0,0,0,0,0,Loyola University Chicago,Men
Asian,0,0,0,0,1,Loyola University Chicago,Men
Black,7,0,2,0,3,Loyola University Chicago,Men
Hispanic,0,0,0,0,2,Loyola University Chicago,Men
Nat. Haw./PI,0,0,0,0,0,Loyola University Chicago,Men
US N-R,0,0,5,0,7,Loyola University Chicago,Men
Two or More,1,0,0,0,1,Loyola University Chicago,Men
Unknown,0,0,0,0,0,Loyola University Chicago,Men
White,3,0,4,0,25,Loyola University Chicago,Men
Total,11,0,11,0,39,Loyola University Chicago,Men
Am. Ind./AN,0,0,0,0,1,Loyola University Maryland,Men
Asian,0,0,0,0,0,Loyola University Maryland,Men
Black,7,0,0,0,2,Loyola University Maryland,Men
Hispanic,0,0,0,0,7,Loyola University Maryland,Men
Nat. Haw./PI,0,0,0,0,0,Loyola University Maryland,Men
US N-R,3,0,0,0,8,Loyola University Maryland,Men
Two or More,1,0,0,0,4,Loyola University Maryland,Men
Unknown,0,0,0,0,1,Loyola University Maryland,Men
White,1,0,0,0,71,Loyola University Maryland,Men
Total,12,0,0,0,94,Loyola University Maryland,Men
Am. Ind./AN,0,0,0,0,1,Manhattan University,Men
Asian,0,0,1,0,2,Manhattan University,Men
Black,4,3,3,0,1,Manhattan University,Men
Hispanic,1,2,3,0,10,Manhattan University,Men
Nat. Haw./PI,0,0,0,0,0,Manhattan University,Men
US N-R,2,0,3,0,18,Manhattan University,Men
Two or More,0,0,1,0,4,Manhattan University,Men
Unknown,0,1,1,0,1,Manhattan University,Men
White,3,20,6,0,33,Manhattan University,Men
Total,10,26,18,0,70,Manhattan University,Men
Am. Ind./AN,0,0,0,0,0,Marist University,Men
Asian,0,0,1,0,1,Marist University,Men
Black,8,1,1,0,2,Marist University,Men
Hispanic,0,2,2,0,15,Marist University,Men
Nat. Haw./PI,0,0,0,0,0,Marist University,Men
US N-R,0,0,0,0,13,Marist University,Men
Two or More,3,0,0,0,3,Marist University,Men
Unknown,1,0,0,0,0,Marist University,Men
White,3,29,14,0,55,Marist University,Men
Total,15,32,18,0,89,Marist University,Men
Am. Ind./AN,0,0,0,0,0,Marquette University,Men
Asian,0,0,0,0,0,Marquette University,Men
Black,6,0,0,0,2,Marquette University,Men
Hispanic,2,0,0,0,12,Marquette University,Men
Nat. Haw./PI,0,0,0,0,0,Marquette University,Men
US N-R,1,0,0,0,13,Marquette University,Men
Two or More,1,0,0,0,2,Marquette University,Men
Unknown,0,0,0,0,1,Marquette University,Men
White,1,0,0,0,49,Marquette University,Men
Total,11,0,0,0,79,Marquette University,Men
Am. Ind./AN,0,0,0,1,0,Marshall University,Men
Asian,0,0,0,0,0,Marshall University,Men
Black,2,1,0,60,0,Marshall University,Men
Hispanic,0,5,2,7,1,Marshall University,Men
Nat. Haw./PI,0,0,0,0,0,Marshall University,Men
US N-R,4,1,0,2,22,Marshall University,Men
Two or More,2,1,0,11,0,Marshall University,Men
Unknown,0,2,1,16,2,Marshall University,Men
White,5,16,10,20,10,Marshall University,Men
Total,13,26,13,117,35,Marshall University,Men
Am. Ind./AN,0,0,0,0,0,McNeese State University,Men
Asian,0,0,0,0,0,McNeese State University,Men
Black,13,0,8,55,0,McNeese State University,Men
Hispanic,0,3,0,1,0,McNeese State University,Men
Nat. Haw./PI,0,0,0,0,0,McNeese State University,Men
US N-R,1,1,14,2,0,McNeese State University,Men
Two or More,0,1,1,4,0,McNeese State University,Men
Unknown,0,0,0,0,0,McNeese State University,Men
White,0,22,3,13,0,McNeese State University,Men
Total,14,27,26,75,0,McNeese State University,Men
Am. Ind./AN,0,0,0,0,0,Mercer University,Men
Asian,0,1,0,0,3,Mercer University,Men
Black,8,2,0,54,12,Mercer University,Men
Hispanic,0,1,0,1,4,Mercer University,Men
Nat. Haw./PI,0,0,0,0,0,Mercer University,Men
US N-R,0,1,0,0,10,Mercer University,Men
Two or More,1,1,0,5,2,Mercer University,Men
Unknown,0,0,1,0,0,Mercer University,Men
White,4,24,10,25,46,Mercer University,Men
Total,13,30,11,85,77,Mercer University,Men
Am. Ind./AN,0,0,0,0,0,Merrimack College,Men
Asian,0,0,1,0,2,Merrimack College,Men
Black,7,0,4,38,2,Merrimack College,Men
Hispanic,0,0,1,0,3,Merrimack College,Men
Nat. Haw./PI,0,0,0,0,0,Merrimack College,Men
US N-R,1,0,1,1,32,Merrimack College,Men
Two or More,0,0,2,9,1,Merrimack College,Men
Unknown,0,0,0,6,1,Merrimack College,Men
White,2,16,24,19,69,Merrimack College,Men
Total,10,16,33,73,110,Merrimack College,Men
Am. Ind./AN,0,0,0,0,0,Miami University (Ohio),Men
Asian,0,0,0,0,1,Miami University (Ohio),Men
Black,5,0,2,37,0,Miami University (Ohio),Men
Hispanic,1,1,1,3,1,Miami University (Ohio),Men
Nat. Haw./PI,0,0,0,0,0,Miami University (Ohio),Men
US N-R,0,0,9,1,15,Miami University (Ohio),Men
Two or More,0,1,0,4,2,Miami University (Ohio),Men
Unknown,0,0,0,0,1,Miami University (Ohio),Men
White,6,23,6,39,43,Miami University (Ohio),Men
Total,12,25,18,84,63,Miami University (Ohio),Men
Am. Ind./AN,0,0,0,0,1,Michigan State University,Men
Asian,0,0,0,1,1,Michigan State University,Men
Black,7,0,1,48,4,Michigan State University,Men
Hispanic,0,1,0,2,7,Michigan State University,Men
Nat. Haw./PI,0,0,0,1,0,Michigan State University,Men
US N-R,1,0,0,1,10,Michigan State University,Men
Two or More,0,1,1,4,5,Michigan State University,Men
Unknown,0,0,0,1,0,Michigan State University,Men
White,3,22,7,15,62,Michigan State University,Men
Total,11,24,9,73,90,Michigan State University,Men
Am. Ind./AN,0,0,0,0,0,Middle Tennessee State University,Men
Asian,0,1,0,0,0,Middle Tennessee State University,Men
Black,10,3,14,69,1,Middle Tennessee State University,Men
Hispanic,1,2,0,2,1,Middle Tennessee State University,Men
Nat. Haw./PI,0,0,0,0,0,Middle Tennessee State University,Men
US N-R,0,0,0,0,0,Middle Tennessee State University,Men
Two or More,0,0,1,3,1,Middle Tennessee State University,Men
Unknown,1,1,0,2,0,Middle Tennessee State University,Men
White,1,24,5,12,14,Middle Tennessee State University,Men
Total,13,31,20,88,17,Middle Tennessee State University,Men
Am. Ind./AN,0,0,0,0,0,Mississippi State University,Men
Asian,0,0,0,0,0,Mississippi State University,Men
Black,10,4,17,67,0,Mississippi State University,Men
Hispanic,0,0,1,0,1,Mississippi State University,Men
Nat. Haw./PI,0,0,0,0,0,Mississippi State University,Men
US N-R,1,1,7,3,13,Mississippi State University,Men
Two or More,1,1,1,2,0,Mississippi State University,Men
Unknown,0,0,0,0,0,Mississippi State University,Men
White,1,24,5,9,7,Mississippi State University,Men
Total,13,30,31,81,21,Mississippi State University,Men
Am. Ind./AN,0,0,0,0,0,Mississippi Valley State University,Men
Asian,0,1,0,0,0,Mississippi Valley State University,Men
Black,13,10,5,41,2,Mississippi Valley State University,Men
Hispanic,0,1,0,2,0,Mississippi Valley State University,Men
Nat. Haw./PI,0,0,0,0,0,Mississippi Valley State University,Men
US N-R,0,0,0,0,0,Mississippi Valley State University,Men
Two or More,0,1,0,1,0,Mississippi Valley State University,Men
Unknown,1,2,0,4,0,Mississippi Valley State University,Men
White,1,5,0,5,0,Mississippi Valley State University,Men
Total,15,20,5,53,2,Mississippi Valley State University,Men
Am. Ind./AN,0,0,0,0,0,Missouri State University,Men
Asian,0,0,0,0,0,Missouri State University,Men
Black,7,1,0,36,0,Missouri State University,Men
Hispanic,0,4,0,4,1,Missouri State University,Men
Nat. Haw./PI,0,0,0,4,0,Missouri State University,Men
US N-R,0,2,0,0,23,Missouri State University,Men
Two or More,1,0,0,9,1,Missouri State University,Men
Unknown,0,0,0,0,0,Missouri State University,Men
White,3,18,0,18,21,Missouri State University,Men
Total,11,25,0,71,46,Missouri State University,Men
Am. Ind./AN,0,0,0,0,0,Monmouth University,Men
Asian,0,0,0,0,1,Monmouth University,Men
Black,2,0,9,36,1,Monmouth University,Men
Hispanic,0,0,3,5,6,Monmouth University,Men
Nat. Haw./PI,0,0,0,0,0,Monmouth University,Men
US N-R,3,0,3,0,17,Monmouth University,Men
Two or More,1,1,0,4,2,Monmouth University,Men
Unknown,0,2,1,1,3,Monmouth University,Men
White,5,20,29,11,44,Monmouth University,Men
Total,11,23,45,57,74,Monmouth University,Men
Am. Ind./AN,0,0,0,0,0,Montana State University-Bozeman,Men
Asian,0,0,0,0,0,Montana State University-Bozeman,Men
Black,5,0,4,16,0,Montana State University-Bozeman,Men
Hispanic,0,0,0,8,0,Montana State University-Bozeman,Men
Nat. Haw./PI,0,0,0,2,0,Montana State University-Bozeman,Men
US N-R,0,0,2,1,13,Montana State University-Bozeman,Men
Two or More,0,0,2,15,1,Montana State University-Bozeman,Men
Unknown,0,0,0,0,0,Montana State University-Bozeman,Men
White,9,0,20,52,9,Montana State University-Bozeman,Men
Total,14,0,28,94,23,Montana State University-Bozeman,Men
Am. Ind./AN,0,0,0,1,0,Morehead State University,Men
Asian,0,0,0,1,0,Morehead State University,Men
Black,8,1,1,14,0,Morehead State University,Men
Hispanic,0,1,1,18,0,Morehead State University,Men
Nat. Haw./PI,0,0,0,0,0,Morehead State University,Men
US N-R,1,4,0,0,2,Morehead State University,Men
Two or More,1,1,0,12,0,Morehead State University,Men
Unknown,0,0,1,1,0,Morehead State University,Men
White,1,26,16,62,11,Morehead State University,Men
Total,11,33,19,109,13,Morehead State University,Men
Am. Ind./AN,0,0,0,0,0,Morgan State University,Men
Asian,0,0,0,3,1,Morgan State University,Men
Black,11,10,0,58,14,Morgan State University,Men
Hispanic,0,0,0,7,0,Morgan State University,Men
Nat. Haw./PI,0,0,0,0,0,Morgan State University,Men
US N-R,1,0,0,0,0,Morgan State University,Men
Two or More,0,0,0,14,1,Morgan State University,Men
Unknown,0,0,0,0,0,Morgan State University,Men
White,0,1,0,1,1,Morgan State University,Men
Total,12,11,0,83,17,Morgan State University,Men
Am. Ind./AN,0,0,0,0,0,Mount St. Mary's University,Men
Asian,0,0,0,0,4,Mount St. Mary's University,Men
Black,8,1,12,0,1,Mount St. Mary's University,Men
Hispanic,0,2,2,0,10,Mount St. Mary's University,Men
Nat. Haw./PI,1,0,0,0,0,Mount St. Mary's University,Men
US N-R,2,0,2,0,11,Mount St. Mary's University,Men
Two or More,1,0,4,0,4,Mount St. Mary's University,Men
Unknown,0,0,1,0,2,Mount St. Mary's University,Men
White,1,24,13,0,61,Mount St. Mary's University,Men
Total,13,27,34,0,93,Mount St. Mary's University,Men
Am. Ind./AN,0,0,0,0,1,Murray State University,Men
Asian,0,0,0,0,0,Murray State University,Men
Black,9,1,0,46,0,Murray State University,Men
Hispanic,0,1,0,0,1,Murray State University,Men
Nat. Haw./PI,0,0,0,0,0,Murray State University,Men
US N-R,1,0,1,0,0,Murray State University,Men
Two or More,0,2,0,4,0,Murray State University,Men
Unknown,0,1,0,1,0,Murray State University,Men
White,1,19,8,26,20,Murray State University,Men
Total,11,24,9,77,22,Murray State University,Men
Am. Ind./AN,0,0,0,0,0,New Jersey Institute of Technology,Men
Asian,0,2,0,0,0,New Jersey Institute of Technology,Men
Black,7,0,2,0,1,New Jersey Institute of Technology,Men
Hispanic,1,3,4,0,6,New Jersey Institute of Technology,Men
Nat. Haw./PI,0,0,0,0,0,New Jersey Institute of Technology,Men
US N-R,3,0,1,0,35,New Jersey Institute of Technology,Men
Two or More,1,2,1,0,5,New Jersey Institute of Technology,Men
Unknown,0,0,0,0,5,New Jersey Institute of Technology,Men
White,1,20,5,0,36,New Jersey Institute of Technology,Men
Total,13,27,13,0,88,New Jersey Institute of Technology,Men
Am. Ind./AN,0,0,0,0,1,New Mexico State University,Men
Asian,0,0,0,0,0,New Mexico State University,Men
Black,10,3,3,45,0,New Mexico State University,Men
Hispanic,3,6,5,7,5,New Mexico State University,Men
Nat. Haw./PI,0,0,0,4,0,New Mexico State University,Men
US N-R,0,0,0,0,0,New Mexico State University,Men
Two or More,0,0,0,14,0,New Mexico State University,Men
Unknown,0,0,0,0,0,New Mexico State University,Men
White,0,16,4,20,13,New Mexico State University,Men
Total,13,25,12,90,19,New Mexico State University,Men
Am. Ind./AN,0,0,0,0,0,Niagara University,Men
Asian,0,0,0,0,0,Niagara University,Men
Black,6,0,0,0,3,Niagara University,Men
Hispanic,0,1,0,0,0,Niagara University,Men
Nat. Haw./PI,0,0,0,0,0,Niagara University,Men
US N-R,2,8,1,0,39,Niagara University,Men
Two or More,1,2,0,0,2,Niagara University,Men
Unknown,0,0,1,0,2,Niagara University,Men
White,0,11,4,0,31,Niagara University,Men
Total,9,22,6,0,77,Niagara University,Men
Am. Ind./AN,0,0,1,0,0,Nicholls State University,Men
Asian,0,0,0,0,0,Nicholls State University,Men
Black,10,2,1,47,0,Nicholls State University,Men
Hispanic,0,7,2,1,0,Nicholls State University,Men
Nat. Haw./PI,0,0,0,0,0,Nicholls State University,Men
US N-R,0,0,1,0,11,Nicholls State University,Men
Two or More,0,0,0,3,0,Nicholls State University,Men
Unknown,2,0,0,1,0,Nicholls State University,Men
White,1,18,8,27,3,Nicholls State University,Men
Total,13,27,13,79,14,Nicholls State University,Men
Am. Ind./AN,0,0,0,0,0,Norfolk State University,Men
Asian,0,0,0,0,1,Norfolk State University,Men
Black,10,5,13,51,0,Norfolk State University,Men
Hispanic,0,2,0,3,0,Norfolk State University,Men
Nat. Haw./PI,0,0,0,0,0,Norfolk State University,Men
US N-R,1,1,6,1,4,Norfolk State University,Men
Two or More,1,1,1,4,0,Norfolk State University,Men
Unknown,0,0,0,0,0,Norfolk State University,Men
White,0,4,0,7,1,Norfolk State University,Men
Total,12,13,20,66,6,Norfolk State University,Men
Am. Ind./AN,0,0,0,0,0,North Carolina A&T State University,Men
Asian,0,1,0,0,0,North Carolina A&T State University,Men
Black,10,8,14,48,0,North Carolina A&T State University,Men
Hispanic,0,5,0,1,0,North Carolina A&T State University,Men
Nat. Haw./PI,0,0,0,0,0,North Carolina A&T State University,Men
US N-R,3,0,1,0,8,North Carolina A&T State University,Men
Two or More,1,1,2,3,0,North Carolina A&T State University,Men
Unknown,0,0,0,0,0,North Carolina A&T State University,Men
White,0,9,0,6,1,North Carolina A&T State University,Men
Total,14,24,17,58,9,North Carolina A&T State University,Men
Am. Ind./AN,0,0,1,0,0,North Carolina Central University,Men
Asian,0,0,1,0,1,North Carolina Central University,Men
Black,9,0,11,47,4,North Carolina Central University,Men
Hispanic,0,0,1,7,1,North Carolina Central University,Men
Nat. Haw./PI,0,0,0,0,0,North Carolina Central University,Men
US N-R,1,0,0,1,4,North Carolina Central University,Men
Two or More,1,0,0,5,0,North Carolina Central University,Men
Unknown,0,0,0,1,0,North Carolina Central University,Men
White,0,0,0,3,2,North Carolina Central University,Men
Total,11,0,14,64,12,North Carolina Central University,Men
Am. Ind./AN,0,0,0,0,0,North Carolina State University,Men
Asian,0,0,0,0,1,North Carolina State University,Men
Black,9,1,6,48,2,North Carolina State University,Men
Hispanic,0,3,1,2,6,North Carolina State University,Men
Nat. Haw./PI,0,0,0,1,0,North Carolina State University,Men
US N-R,1,0,2,0,20,North Carolina State University,Men
Two or More,0,1,3,8,3,North Carolina State University,Men
Unknown,0,0,0,2,1,North Carolina State University,Men
White,1,18,13,13,43,North Carolina State University,Men
Total,11,23,25,74,76,North Carolina State University,Men
Am. Ind./AN,0,0,0,0,0,North Dakota State University,Men
Asian,0,0,0,0,0,North Dakota State University,Men
Black,4,0,1,20,2,North Dakota State University,Men
Hispanic,0,1,0,1,2,North Dakota State University,Men
Nat. Haw./PI,0,0,0,0,0,North Dakota State University,Men
US N-R,0,4,1,0,0,North Dakota State University,Men
Two or More,2,1,2,12,2,North Dakota State University,Men
Unknown,0,0,0,0,0,North Dakota State University,Men
White,6,26,40,53,26,North Dakota State University,Men
Total,12,32,44,86,32,North Dakota State University,Men
Am. Ind./AN,0,0,0,0,1,Northeastern University,Men
Asian,0,0,1,0,1,Northeastern University,Men
Black,5,0,6,0,0,Northeastern University,Men
Hispanic,0,4,2,0,4,Northeastern University,Men
Nat. Haw./PI,0,0,0,0,0,Northeastern University,Men
US N-R,2,0,2,0,25,Northeastern University,Men
Two or More,1,0,1,0,3,Northeastern University,Men
Unknown,0,1,0,0,0,Northeastern University,Men
White,2,20,11,0,22,Northeastern University,Men
Total,10,25,23,0,56,Northeastern University,Men
Am. Ind./AN,0,0,0,0,0,Northern Arizona University,Men
Asian,0,0,0,0,0,Northern Arizona University,Men
Black,2,0,1,39,0,Northern Arizona University,Men
Hispanic,1,0,2,13,0,Northern Arizona University,Men
Nat. Haw./PI,1,0,0,7,0,Northern Arizona University,Men
US N-R,0,0,2,0,6,Northern Arizona University,Men
Two or More,0,0,0,0,0,Northern Arizona University,Men
Unknown,2,0,4,14,0,Northern Arizona University,Men
White,7,0,16,31,0,Northern Arizona University,Men
Total,13,0,25,104,6,Northern Arizona University,Men
Am. Ind./AN,0,0,0,0,1,Northern Illinois University,Men
Asian,0,0,0,0,7,Northern Illinois University,Men
Black,11,0,0,48,3,Northern Illinois University,Men
Hispanic,1,0,0,0,5,Northern Illinois University,Men
Nat. Haw./PI,0,0,0,0,0,Northern Illinois University,Men
US N-R,0,0,0,0,0,Northern Illinois University,Men
Two or More,1,2,0,12,6,Northern Illinois University,Men
Unknown,0,0,0,1,0,Northern Illinois University,Men
White,0,26,0,37,28,Northern Illinois University,Men
Total,13,28,0,98,50,Northern Illinois University,Men
Am. Ind./AN,0,0,0,0,0,Northern Kentucky University,Men
Asian,0,0,0,0,0,Northern Kentucky University,Men
Black,3,0,1,0,2,Northern Kentucky University,Men
Hispanic,0,1,0,0,2,Northern Kentucky University,Men
Nat. Haw./PI,0,0,0,0,0,Northern Kentucky University,Men
US N-R,3,2,0,0,12,Northern Kentucky University,Men
Two or More,3,0,0,0,2,Northern Kentucky University,Men
Unknown,0,0,0,0,1,Northern Kentucky University,Men
White,3,21,6,0,14,Northern Kentucky University,Men
Total,12,24,7,0,33,Northern Kentucky University,Men
Am. Ind./AN,0,0,0,1,0,Northwestern State University,Men
Asian,0,0,0,0,0,Northwestern State University,Men
Black,12,0,15,66,0,Northwestern State University,Men
Hispanic,0,1,0,1,0,Northwestern State University,Men
Nat. Haw./PI,0,0,0,0,0,Northwestern State University,Men
US N-R,0,0,5,0,0,Northwestern State University,Men
Two or More,1,3,1,5,0,Northwestern State University,Men
Unknown,0,0,0,0,0,Northwestern State University,Men
White,0,25,1,19,0,Northwestern State University,Men
Total,13,29,22,92,0,Northwestern State University,Men
Am. Ind./AN,0,0,0,0,0,Northwestern University,Men
Asian,0,1,0,0,6,Northwestern University,Men
Black,1,1,0,29,6,Northwestern University,Men
Hispanic,0,4,0,2,9,Northwestern University,Men
Nat. Haw./PI,0,0,0,0,0,Northwestern University,Men
US N-R,1,0,0,1,12,Northwestern University,Men
Two or More,1,2,0,2,9,Northwestern University,Men
Unknown,1,0,0,4,2,Northwestern University,Men
White,5,19,0,30,33,Northwestern University,Men
Total,9,27,0,68,77,Northwestern University,Men
Am. Ind./AN,0,0,0,0,0,Oakland University,Men
Asian,0,0,0,0,0,Oakland University,Men
Black,6,1,6,0,0,Oakland University,Men
Hispanic,0,1,0,0,2,Oakland University,Men
Nat. Haw./PI,0,0,0,0,0,Oakland University,Men
US N-R,1,0,2,0,22,Oakland University,Men
Two or More,3,3,1,0,3,Oakland University,Men
Unknown,0,0,0,0,0,Oakland University,Men
White,3,22,14,0,26,Oakland University,Men
Total,13,27,23,0,53,Oakland University,Men
Am. Ind./AN,0,0,0,0,0,Ohio University,Men
Asian,0,0,0,0,1,Ohio University,Men
Black,5,0,1,40,0,Ohio University,Men
Hispanic,0,0,0,0,0,Ohio University,Men
Nat. Haw./PI,0,0,0,0,0,Ohio University,Men
US N-R,0,0,0,2,1,Ohio University,Men
Two or More,1,1,2,22,1,Ohio University,Men
Unknown,1,1,0,4,1,Ohio University,Men
White,6,27,10,41,28,Ohio University,Men
Total,13,29,13,109,32,Ohio University,Men
Am. Ind./AN,0,2,0,0,1,Oklahoma State University,Men
Asian,0,0,0,0,1,Oklahoma State University,Men
Black,11,0,10,33,1,Oklahoma State University,Men
Hispanic,0,2,6,3,7,Oklahoma State University,Men
Nat. Haw./PI,0,0,0,2,0,Oklahoma State University,Men
US N-R,0,1,13,2,11,Oklahoma State University,Men
Two or More,0,5,2,20,7,Oklahoma State University,Men
Unknown,0,0,0,1,0,Oklahoma State University,Men
White,1,24,20,25,23,Oklahoma State University,Men
Total,12,34,51,86,51,Oklahoma State University,Men
Am. Ind./AN,0,0,0,1,0,Old Dominion University,Men
Asian,0,0,0,0,1,Old Dominion University,Men
Black,6,1,0,55,1,Old Dominion University,Men
Hispanic,0,2,0,5,0,Old Dominion University,Men
Nat. Haw./PI,0,0,0,0,1,Old Dominion University,Men
US N-R,3,0,0,2,27,Old Dominion University,Men
Two or More,2,2,0,6,1,Old Dominion University,Men
Unknown,0,1,0,0,0,Old Dominion University,Men
White,1,21,0,12,18,Old Dominion University,Men
Total,12,27,0,81,49,Old Dominion University,Men
Am. Ind./AN,0,0,0,0,0,Oral Roberts University,Men
Asian,0,0,0,0,3,Oral Roberts University,Men
Black,8,2,10,0,3,Oral Roberts University,Men
Hispanic,1,1,2,0,7,Oral Roberts University,Men
Nat. Haw./PI,0,0,0,0,0,Oral Roberts University,Men
US N-R,0,0,0,0,5,Oral Roberts University,Men
Two or More,2,5,1,0,1,Oral Roberts University,Men
Unknown,0,0,0,0,2,Oral Roberts University,Men
White,2,17,3,0,12,Oral Roberts University,Men
Total,13,25,16,0,33,Oral Roberts University,Men
Am. Ind./AN,0,0,0,0,1,Oregon State University,Men
Asian,0,0,0,1,1,Oregon State University,Men
Black,4,0,0,33,2,Oregon State University,Men
Hispanic,0,3,0,6,10,Oregon State University,Men
Nat. Haw./PI,0,0,0,6,0,Oregon State University,Men
US N-R,4,1,0,2,14,Oregon State University,Men
Two or More,2,0,0,9,6,Oregon State University,Men
Unknown,0,0,0,0,0,Oregon State University,Men
White,2,21,0,17,24,Oregon State University,Men
Total,12,25,0,74,58,Oregon State University,Men
Am. Ind./AN,0,0,0,0,0,Pennsylvania State University,Men
Asian,0,0,0,0,1,Pennsylvania State University,Men
Black,9,0,7,70,16,Pennsylvania State University,Men
Hispanic,0,0,1,0,0,Pennsylvania State University,Men
Nat. Haw./PI,0,1,0,1,0,Pennsylvania State University,Men
US N-R,3,0,4,4,30,Pennsylvania State University,Men
Two or More,0,3,4,6,16,Pennsylvania State University,Men
Unknown,0,0,0,2,1,Pennsylvania State University,Men
White,1,24,22,18,128,Pennsylvania State University,Men
Total,13,28,38,101,192,Pennsylvania State University,Men
Am. Ind./AN,0,0,0,0,0,Pepperdine University,Men
Asian,0,0,0,0,2,Pepperdine University,Men
Black,11,0,0,0,2,Pepperdine University,Men
Hispanic,0,1,0,0,0,Pepperdine University,Men
Nat. Haw./PI,0,0,0,0,0,Pepperdine University,Men
US N-R,0,0,0,0,0,Pepperdine University,Men
